code,title,units,prereqs,offered,corrupt
POLECON 24,Freshman Seminar,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment is limited to 15 freshmen.",0
POLECON 100,Classical Theories of Political Economy,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
One-semester lecture course offered each semester. In-depth analysis of the classical political economy literature, including such authors as Locke, Smith, Marx, Mills, and Weber to Veblen and Polanyi. Strong emphasis is placed on providing appropriate background for understanding the evolution of the literature that has emanated from the various social science disciplines which forms the basis of modern political economy.",0
POLECON N100,Classical Theories of Political Economy,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2017 First 6 Week Session<br/>
In-depth analysis of the classical political economy literature, including such authors as Locke, Smith, Marx, Mills, and Weber to Veblen and Polanyi. Strong emphasis is placed on providing appropriate background for understanding the evolution of the literature that has emanated from the various social science disciplines which forms the basis of modern political economy.",0
POLECON 101,Contemporary Theories of Political Economy,4 Units," 100, Political Economy of Industrial Societies 100 or consent of instructor","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course is designed to introduce students to modern theoretical works of central intellectual debates on 20th century international political economy. The course explores alternative explanations for inequality in economic development among nations and economic declines of of the dominate powers. It will also examine tensions between the increasing ""globalization"" of that economy and continued fragmentation of the international",0
POLECON N101,Contemporary Theories of Political Economy,4 Units," Political Economy 100, N100 or consent of instructor","Terms offered: Summer 2018 First 6 Week Session, Summer 2017 First 6 Week Session<br/>
This course is designed to introduce students to modern theoretical works of central intellectual debates on 20th century international political economy. The course explores alternative explanations for inequality in economic development among nations and economic declines of of the dominate powers. It will also examine tensions between the increasing ""globalization"" of that economy and continued fragmentation",0
POLECON 111,Poverty and Social Policy,3 Units,,"Terms offered: Spring 2018<br/>
This course investigates the nature, extent, and persistence of poverty and inequality, and examines the effects of program and policy responses. Throughout the course we will look at proposed explanations for the causes of poverty and will observe how underlying values and assumptions have influenced the development of policies aimed at poverty alleviation. While emphasizing poverty and policy responses in the United States, we will examine poverty and related policies",0
POLECON C138,Gender and Capitalism,4 Units,,"Terms offered: Spring 2018<br/>
The 21st century has seen powerful critiques of both growing economic inequality and the troubling persistence of domination based on gender, race and other categorical differences. Gender has a distinctive role here for many reasons: the centrality of gender to social reproduction; the historical coproduction of male domination and capitalism; and the way gender operates in the constitution of selves. Insofar as capitalism is organized and distributes power and profits",0
POLECON 150,Advanced Study in Political Economy of Industrial Societies,4 Units, Consent of instructor and background in political economy or related social sciences,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Spring 2016<br/>
Advanced multidisciplinary research in current issues of political economy and industrialization. Seminars will focus on specific geographical areas or topics with appropriate comparative material included. A major research project is required as well as class presentations. Topics change each semester.",0
POLECON 160,Political Economy in Historical Context,4 Units," 100 and 101, or Political Economy of Industrial Societies 100 and 101, or consent of instructor","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course focuses specifically on the historical context and perspective of the relationship of politics and economics in modern societies. Students are guided through an interdisciplinary survey of the historical experience of peoples and places who have participated in the ongoing great transformation away from argricultural societies to the rise of the industrial state and onto post-industrialism. Each term provides a different perspective",0
POLECON H195,Senior Honors Thesis Seminar,4 Units, International and Area Studies 102 and consent of instructor; senior standing,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Honors students are required to research and write a thesis based on the prospectus developed in International and Area Studies 102. The thesis work is reviewed by the honors instructor and a second reader to be selected based on the thesis topic. Weekly progress reports required.",0
POLECON C196A,UCDC Core Seminar,4 Units, C196B (must be taken concurrently),"Terms offered: Spring 2018, Fall 2017, Spring 2017, Fall 2016, Spring 2016, Fall 2015, Spring 2015, Spring 2014, Fall 2013, Spring 2013, Fall 2012, Spring 2012<br/>
This course is the UCDC letter-graded core seminar for 4 units that complements the P/NP credited internship course <a class=""bubblelink code"" href=""/search/?P=UGIS%20C196B"" onclick=""return showCourse(this, 'UGIS C196B');"" title=""UGIS C196B"">UGIS C196B</a>. Core seminars are designed to enhance the experience of and provide an intellectual framework for the student's internship. UCDC core seminars are taught in sections that cover various tracks such as the Congress",0
POLECON C196B,UCDC Internship,6.5 Units, C196A (must be taken concurrently),"Terms offered: Spring 2018, Fall 2017, Spring 2017, Fall 2016, Spring 2016, Fall 2015, Spring 2015, Spring 2014, Fall 2013, Spring 2013, Fall 2012, Spring 2012<br/>
This course provides a credited internship for all students enrolled in the UCDC and Cal in the Capital Programs. It must be taken in conjunction with the required academic core course C196A. C196B requires that students work 3-4 days per week as interns in settings selected to provide them with exposure to and experienc in government",0
POLECON C196W,Special Field Research,10.5 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017, Fall 2016, Spring 2016, Fall 2015, Spring 2015, Fall 2014, Spring 2014, Spring 2013<br/>
Students work in selected internship programs approved in advance by the faculty coordinator and for which written contracts have been established between the sponsoring organization and the student. Students will be expected to produce two progress reports for their faculty coordinator during the course of the internship, as well as a final paper for the course",0
POLECON 197,Field Studies,1 - 4 Units, Upper division standing and consent of instructor,"Terms offered: Summer 2016 10 Week Session, Fall 2015, Spring 2012<br/>
Supervised experience relevant to specific aspects of Political Economy of Industrial Societies in off-campus organizations. Regular individual meetings with faculty sponsor and written reports required.",0
