code,title,units,prereqs,offered,corrupt
PORTUG 24,Freshman Seminar,1 Unit,,"Offered through: Spanish and Portuguese<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
PORTUG 27,"Introduction to Portugal, Brazil, and other Portuguese-Speaking Cultures (in English)",3 Units,,"Offered through: Spanish and Portuguese<br/>
Terms offered: Spring 2018, Fall 2017<br/>
This course offers an overview of contemporary Portuguese-Speaking Cultures and Literatures. The time frame covered is from the sixties--years of rupture and experimentalism in artistic and cultural production—to the present. Students will study the concrete poetry of the Portuguese author Ana Hatherly, the visual (“Concrete”) poems of the Brazilian author Haroldo de Campos, and the drawings of the Swiss-Brazilian",0
PORTUG 50,Intensive Portuguese for Spanish Speakers,4 Units," Credit of 16-20 units or equivalent of Spanish language, or consent of instructor","Offered through: Spanish and Portuguese<br/>
Terms offered: Spring 2018, Fall 2017<br/>
An intensive course for students who have no previous study of Portuguese designed to introduce the basics of the language. This offering prepares the student for upper division course work in Portuguese.",0
PORTUG 102,Readings in Portuguese,4 Units," Portuguese 101, 101A-101B, 12, or equivalent","Offered through: Spanish and Portuguese<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The continuation of Portuguese 101A-101B, this course focuses on a variety of texts with special emphasis on 20th-century Brazil. Discussion in Portuguese; reinforcement and development of language skills.",0
PORTUG 103,Advanced Grammar and Composition,4 Units, Portuguese 102 or consent of instructor,"Offered through: Spanish and Portuguese<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Advanced work in Portuguese grammatical structures. Practice in writing.",0
PORTUG 104,Introduction to Brazilian Literature,4 Units,,"Offered through: Spanish and Portuguese<br/>
Terms offered: Spring 2018, Spring 2017, Fall 2015<br/>
A survey of Brazilian literature from the beginnings through the 20th century, with attention to the relationships between literature and society.",0
PORTUG 113,Brazilian Civilization,4 Units,,"Offered through: Spanish and Portuguese<br/>
Terms offered: Spring 2018, Spring 2017, Fall 2008<br/>
The course presents an overview of major themes in Brazilian cultural expression with emphasis on the 19th and 20th centuries.",0
PORTUG 128,Twentieth-Century Brazilian Literature,4 Units," Portuguese 103 is recommended, but not required","Offered through: Spanish and Portuguese<br/>
Terms offered: Fall 2017, Fall 2016, Spring 2015<br/>
An examination of the most important 20th-century writers from the 1920s through the present. Emphasis on the shifting definition of ""brasileiridade"" and on new directions in contemporary poetry and fiction.",0
PORTUG 135,Studies in Luso-Brazilian Literature,4 Units, Portuguese 102 or permission of instructor,"Offered through: Spanish and Portuguese<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Study of literature and cultural texts representative of classical literary genres: narrative prose, plays and poetry.",0
PORTUG H195,Portuguese Honors Course,3 Units, Twenty units or equivalent of Portuguese or another Romance language,"Offered through: Spanish and Portuguese<br/>
Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Directed study centering on the preparation/completion of an honors thesis (see Honors Program, Option B, above).",0
PORTUG 199,Supervised Independent Study and Research,1 - 3 Units, Senior honor status and 20 units or equivalent of Portuguese or another Romance language,"Offered through: Spanish and Portuguese<br/>
Terms offered: Fall 2016, Spring 2016, Spring 2015<br/>",0
PORTUG 275,Critical and Stylistic Studies of a Single Author or Period,4 Units,,"Offered through: Spanish and Portuguese<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>",0
PORTUG 298,Special Study for Graduate Students,3 - 8 Units, Graduate standing,"Offered through: Spanish and Portuguese<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Individual conferences on special programs of study or research in a restricted field not covered by available courses or seminars.",0
PORTUG 299,Special Advanced Study,3 - 8 Units, Restricted to students writing doctoral dissertations,"Offered through: Spanish and Portuguese<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>",0
