code,title,units,prereqs,offered,corrupt
PSYCH 1,General Psychology,3 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Introduction to the principal areas, problems, and concepts of psychology. This course is required for the major; students not considering a psychology major are directed to 2.",0
PSYCH N1,General Psychology,3 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
Introduction to the principal areas, problems, and concepts of psychology. This course is required for the major; students not considering a psychology major are directed to 2.",0
PSYCH W1,General Psychology,3 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Introduction to the principal areas, problems, and concepts of psychology.",0
PSYCH 2,Principles of Psychology,3 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
An overview of psychology for students who will not major in the field. This course satisfies the prerequisite for upper division decade courses.",0
PSYCH 3,Introduction to How the Brain Works,1 Unit, A year of college-level general biology for majors,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
This course will give a rigorous yet accessible overview of our current understanding of how the brain works and how it is altered by experience. Specifically, the class provides: an introduction to the structure and function of the sensory and motor systems; discussions of disorders and phenomena such as blindsight, synaesthesia, color blindness, and phantom limbs; and a lecture",0
PSYCH 4,Emotional Intelligence,2 Units,,"Terms offered: Summer 2018 Second 6 Week Session<br/>
This course will examine research on emotional intelligence and techniques for developing emotional intelligence. We will discuss various components of emotional intelligence, including the ability to identity and manage one’s emotions, successfully motivate oneself to achieve one’s goals, read other people’s emotions accurately, and use emotions to navigate social relationships effectively. Material will be taken from social psychology, clinical",0
PSYCH 5,Technology vs. Psychology: The Internet Revolution and the Rise of the Virtual Self,2 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Fall 1995<br/>
Most people have an online alter ego that is stronger and sexier but also angrier, more impulsive, and less ethical. These traits can become incorporated into offline personality, turning us into our avatar. Other psychological damage comes from the lack of online privacy and our new relationship with information. But the “Net” effect is not all bad; technology can also contribute to psychological",0
PSYCH 6,Stress and Coping,2 Units," Psychology 1, N1, W1, 2, or equivalent","Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
This course is designed to provide students with an in-depth analysis of the various areas within the field of psychology that address topics related to stress and coping. In particular, we will cover the biological, social, personality, cognitive, and clinical factors that play a role in the development of stress and subsequent coping techniques that can be used to deal with",0
PSYCH 7,The Person in Big Data,2 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
This course will introduce students to the basic principles and methods of personality and social psychology as applied to a rapidly growing topic of modern society--the collection and analysis of online social “big data.” Students will learn about the ways in which big data has historically been defined, collected, and utilized, as well as fundamental concepts in person perception",0
PSYCH 9,Changing Behavior: Lessons from a Dog Trainer,1 Unit,,"Terms offered: Summer 2017 Second 6 Week Session<br/>
In this course, we will examine behavior change – in you, and in those others you wish you could change -- by looking at basic principles that apply across species: operant conditioning, classical conditioning, motivation, stress and development. Animal trainers rely on very specific principles when modifying behavior, and those principles apply to every animal, human and non-human animals alike. Come learn what training animals can tell you",0
PSYCH 10,Research and Data Analysis in Psychology,4 Units," Completion of the general psychology prerequisite (1, N1, or W1) and one of the following quantitative prerequisites: Math 10A-B, Statistics 2, or consent of instructor","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
The class covers research design, statistical reasoning, and statistical methods appropriate for psychological research. Topics covered in research design include the scientific method, experimental versus correlational designs, controls and placebos, within and between subject designs and temporal or sequence effects. Topics covered in statistics include descriptive versus inferential statistics, linear regression and correlation",0
