code,title,units,prereqs,offered,corrupt
PUB POL 24,Freshman Seminar,1 Unit,,"Terms offered: Fall 2017, Spring 2016, Spring 2015<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen.",0
PUB POL 98,Group Study in Public Policy,1 - 4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Group study on selected public policy topics. Open to freshmen and sophomores.",0
PUB POL 101,Introduction to Public Policy Analysis,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
A systematic and critical approach to evaluating and designing public policies. Combines theory and application to particular cases and problems. Diverse policy topics, including environmental, health, education, communications, safety, and arts policy issues, among others.",0
PUB POL C103,Wealth and Poverty,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course is designed to provide students with a deeper understanding both of the organization of the political economy in the United States and of other advanced economies, and of why the distribution of earnings, wealth, and opportunity have been diverging in the United States and in other nations. It also is intended to provide insights into the political and public-policy debates that have arisen in light of this divergence, as well",0
PUB POL 117AC,"Race, Ethnicity, and Public Policy",4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
The objective of this course is to use the tools and insights of public policy analysis as a means of understanding the ways in which policies are shaped by and respond to issues of race, ethnicity, and cultural difference. The course is organized around a series of discrete policy problems involving issues of race and ethnicity. It is designed to allow for comparative analysis within and across cases to explore the variety of ways in which policy",0
PUB POL C142,Applied Econometrics and Public Policy,4 Units, 140 or 141 or consent of instructor,"Terms offered: Spring 2018, Spring 2017, Fall 2016, Fall 2015, Fall 2014<br/>
This course focuses on the sensible application of econometric methods to empirical problems in economics and public policy analysis. It provides background on issues that arise when analyzing non-experimental social science data and a guide for tools that are useful for empirical research. By the end of the course, students will have an understanding of the types of research designs that can lead to convincing analysis",0
PUB POL 156,Program and Policy Design,4 Units,,"Terms offered: Spring 2016, Fall 2011, Fall 2005<br/>
Studio/laboratory in the design of nonphysical environments. Complements courses in policy analysis, public management, economics, and political science; especially intended to integrate elements of professional programs in public policy and related areas. Students will design, in groups and individually, programs and policies that create value in the public sector, including statutes, regulations, and implementation projects. Comparative reviews",0
PUB POL 157,Arts and Cultural Policy,4 Units,,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Survey of government policy toward the arts (especially direct subsidy, copyright and regulation, and indirect assistance) and its effects on artists, audiences, and institutions. Emphasizes ""highbrow"" arts, U.S. policy, and the social and economic roles of participants in the arts. Readings, field trips, and case discussion. One paper in two drafts required for undergraduate credit; graduate credit awarded for an additional short",0
PUB POL C184,Energy and Society,4 Units,,"Terms offered: Summer 2018 10 Week Session, Fall 2017, Summer 2017 8 Week Session<br/>
Energy sources, uses, and impacts: an introduction to the technology, politics, economics, and environmental effects of energy in contemporary society. Energy and well-being; energy in international perspective, origins, and character of energy crisis.",0
PUB POL 190,Special Topics in Public Policy,1 - 4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Course examines current problems and issues in the field of public policy. Topics may vary from year to year and will be announced at the beginning of the semester. Open to students from other departments.",0
