code,title,units,prereqs,offered,corrupt
RHETOR R1A,The Craft of Writing,4 Units, Satisfaction of the Entry Level Writing Requirement,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Rhetorical approach to reading and writing argumentative discourse. Close reading of selected texts; written themes developed from class discussion and analysis of rhetorical strategies. Satisfies the first half of the Reading and Composition requirement.",0
RHETOR R1B,The Craft of Writing,4 Units," Previously passed an R1A course with a letter grade of C- or better. <BR/>Previously passed an articulated R1A course with a letter grade of C- or better. <BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition. <BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition. <BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2017<br/>
Intensive argumentative writing drawn from controversy stimulated through selected readings and class discussion. Satisfies the second half of the Reading and Composition requirement.",0
RHETOR 2,Fundamentals of Public Speaking,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 Second 6 Week Session<br/>
Basic principles of rhetoric as applied to the criticism and practice of public speaking.",0
RHETOR 10,Introduction to Practical Reasoning and Critical Analysis of Argument,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Fall 2017, Fall 2016<br/>
An introduction to practical reasoning and the critical analysis of argument. Topics treated will include: definition, the syllogism, the enthymeme, fallacies, as well as various non-logical appeals. Also, the course will treat in introductory fashion some ancient and modern attempts to relate rhetoric and logic.",0
RHETOR 20,Rhetorical Interpretation,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introduction to the study of rhetorical interpretation, treating how the action of tropes, figures, and performance generates meaning in communication: from fiction and other forms of literature, to politics, to film, to visual and material culture generally.",0
RHETOR 24,Freshman Seminars,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
RHETOR 98,Supervised Group Study,1 - 3 Units, Consent of adviser,"Terms offered: Fall 2017, Fall 2015, Spring 2015<br/>
Instruction for a small group of students on a topic initiated by those students.",0
RHETOR 103A,Approaches and Paradigms in the History of Rhetorical Theory,4 Units, 10 or consent of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
A broad consideration of the historical relationships between philosophy, literature, and rhetoric, with special emphasis on selected themes of the classical and medieval periods.",0
RHETOR 103B,Approaches and Paradigms in the History of Rhetorical Theory II,4 Units, 10 or consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
A broad consideration of the historical relationship between philosophy, literature, and rhetoric, with special emphasis on selected themes within the early modern and modern periods.",0
RHETOR 104,Rhetorical Theory and Practice in Historical Eras,4 Units,,"Terms offered: Spring 2017, Spring 2016, Fall 2013<br/>
An examination of the relations between rhetoric, discourse, and knowledge in selected historical eras, for example the European Renaissance, the Atlantic Enlightenment, or Victorian Britain.",0
RHETOR 105T,Rhetoric of Religious Discourse,4 Units,,"Terms offered: Spring 2017, Spring 2015, Spring 2013<br/>
Consideration of the rhetoric of hermeneutics or biblical interpretation with special emphasis on the mythical, symbolic, and allegorical language as the bearer of persuasive intention.",0
RHETOR 106,Rhetoric of Historical Discourse,4 Units,,"Terms offered: Fall 2017, Fall 2015, Spring 2015<br/>
A study of how historical knowledge is produced and interpreted. Topics might include narrative and representation, the uses of evidence, forms of historical argumentation, and historical controversies in the public realm.",0
RHETOR 107,Rhetoric of Scientific Discourse,4 Units,,"Terms offered: Spring 2018, Spring 2017, Fall 2015<br/>
Examination of the characteristic functions of discourse in and about the natural sciences; with particular examination of the ways in which scientific language both guarantees, and at the same time, obscures the expression of social norms in scientific facts.",0
RHETOR 108,Rhetoric of Philosophical Discourse,4 Units,,"Terms offered: Spring 2017, Fall 2015, Fall 2012<br/>
Introduction to theoretical issues involved in applying rhetorical analysis to philosophical discourse; intensive analysis of selected philosophical works.",0
RHETOR 109,Aesthetics and Rhetoric,4 Units," Any 1A-1B sequence, upper division standing, and consent of instructor","Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
Study of the terms and means by which we make and defend judgments involving the exercise of aesthetic sensitivity or perceptiveness. Consideration of the relationship between aesthetic qualities and aesthetic value. Discussion of aesthetic criticism as the means by which the capacities and salience of works of art are called to our attention and brought into focus. Topics include questions of taste, expression, and affect.",0
RHETOR 114,Rhetoric of New Media,4 Units," R1A-R1B, 10 or 20, consent of instructor","Terms offered: Summer 2018 Second 6 Week Session, Fall 2017, Summer 2017 Second 6 Week Session<br/>
This course examines a range of digital media practices including hypertext, interactive drama, videogames, literary interactive fiction, and socially constructed narratives in multi-user spaces. Through a mixture of readings, discussion, and project work, we will explore the theoretical positions, debates, and design issues arising from these different practices. Topics will include the rhetorical",0
RHETOR 115,Technology and Culture,4 Units,,"Terms offered: Spring 2018<br/>
This course will examine the place and meaning of technology in culture, emphasizing the ways in which technologies shape and inflect social and political interactions. The primary focus will be on the wider reception and perception of technological and cultural shifts as represented in imaginative scientific and cultural works, endeavors and ambitions. This course will then question the conditions for the production and sustainability of these technologies and technological",0
RHETOR 116,"Rhetoric, Culture and Society",4 Units, 103A; upper division standing,"Terms offered: Spring 2016, Fall 2014, Spring 2011<br/>
Analysis of rhetorical practice in the context of social and cultural change with particular reference to the historical transition from pre-industrial to industrial society in the west.",0
RHETOR 117,"Language, Truth and Dialogue",4 Units,,"Terms offered: Fall 2017, Spring 2016, Spring 2014<br/>
Examination of philosophical dialogues from Plato to Heidegger. Focus on the interaction within the dialogue, the participation required of the reader/listener, and the relation of such interaction and participation to thinking, speaking and knowing.",0
RHETOR 118,Undergraduate Seminar on the Theory and Practice of Reading and Interpretation,4 Units, Any 1A-1B sequence and consent of instructor,"Terms offered: Spring 2018, Fall 2014, Fall 2013<br/>
An introduction to contemporary modes of reading and interpretation in the humanities, from structuralism through psychoanalysis, with an emphasis on theories of the sign (semiotics). Examples drawn from such fields as contemporary literature, architecture, history, painting, film, and popular culture.",0
RHETOR 121,Rhetoric of Fiction,4 Units, 10 or 1A-1B sequence or consent of instructor,"Terms offered: Spring 2017, Fall 2015, Fall 2014<br/>
Study of the form and content of fictional narratives. Definition and techniques including voice, point of view, and time orders. Attention to cultural and historical contexts of selected narratives to consider interplay of works, authors, and readerships.",0
RHETOR 124,Rhetoric of Poetry,4 Units," R1A-R1B sequence, upper division standing, and consent of instructor","Terms offered: Fall 2017, Spring 2016, Fall 2014<br/>
Consideration of the relationship between the texture of poetic discourse largely defined by figures of speech and overall poetic structures.",0
RHETOR 127,"Novel, Society, and Politics",4 Units,,"Terms offered: Spring 2016, Spring 2014, Spring 2013<br/>
This course examines the complex links between novelistic discourse, society, and politics. Topics to be studied may include the social and political vocation of the and the realist novel; autobiography and the rise of liberal individualism; political censorship; and the role of the novel in imagining the nation.",0
RHETOR 128T,The Rhetoric and Politics of Interviews,4 Units," 1A-1B sequence or 10, or 20, or consent of instructor","Terms offered: Spring 2016, Spring 2015, Spring 2013<br/>
As a common form of interacting, documenting, and informing, the interview plays a central role in the process of social and cultural inquiry. The interview is here not only studied in its popularized use as a form of oral witnessing and of privileged access to personalities. It is also explored in its critical and potentially creative dimensions as part of a mise en scene or a setting in which interviewer and interviewees function as social",0
RHETOR 129,Rhetoric of Autobiography,4 Units, Upper division standing,"Terms offered: Spring 2017, Fall 2013, Fall 2011<br/>
Rhetorical analysis of autobiographical discourse, with specific attention to the evolution of the genre in relation to changing modes of human subjectivity.",0
