code,title,units,prereqs,offered,corrupt
RUSSIAN 1,Elementary Russian,5 Units,,"Offered through: Slavic Languages and Literatures<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Beginner's course.",0
RUSSIAN 2,Elementary Russian,5 Units, Russian 1 or equivalent,"Offered through: Slavic Languages and Literatures<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>",0
RUSSIAN 3,Intermediate Russian,5 Units, Russian 2 or equivalent,"Offered through: Slavic Languages and Literatures<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>",0
RUSSIAN 4,Intermediate Russian,5 Units, Russian 3 or equivalent,"Offered through: Slavic Languages and Literatures<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>",0
RUSSIAN 6A,Introductory Russian for Heritage Speakers,3 Units, Basic proficiency in Russian; placement test and consent of instructor,"Offered through: Slavic Languages and Literatures<br/>
Terms offered: Spring 2018, Fall 2015<br/>
The course is aimed at ""heritage speakers"" of Russian, i.e., those who grew up speaking Russian in the family without a full Russian educational and cultural background. These courses are designed for students who have speaking and comprehension ability in Russian but have minimum exposure to writing and reading. This course teaches basic skills of writing, reading, and grammar. 6A focuses",0
RUSSIAN 6B,Introductory Russian for Heritage Speakers,3 Units, Basic proficiency in Russian; placement test and consent of instructor,"Offered through: Slavic Languages and Literatures<br/>
Terms offered: Spring 2016<br/>
The course is aimed at ""heritage speakers"" of Russian, i.e., those who grew up speaking Russian in the family without a full Russian educational and cultural background. These courses are designed for students who have speaking and comprehension ability in Russian but have minimum exposure to writing and reading. This course teaches basic skills of writing, reading, and grammar. 6A focuses on basic writing",0
RUSSIAN 103A,Advanced Russian,4 Units, Russian 4 or equivalent,"Offered through: Slavic Languages and Literatures<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Course covers three main aspects of advanced Russian: grammar, syntax, and reading. Grammar is reviewed. Course taught in Russian.",0
RUSSIAN 103B,Advanced Russian,4 Units," Russian 103A, Russian 4, or equivalent","Offered through: Slavic Languages and Literatures<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Course covers three main aspects of advanced Russian: grammar, syntax, and reading. Grammar is reviewed. Course taught in Russian.",0
RUSSIAN 105B,Advanced Russian/English/Russian Translation,3 Units," Russian 1, 2, 3 and 4, or equivalent, or consent of instructor","Offered through: Slavic Languages and Literatures<br/>
Terms offered: Spring 2016<br/>
Advanced training in both oral and written translation skills covering various areas of politics, business, technology, law, science, and culture. Elements of literary and poetic translation.",0
RUSSIAN 120A,Advanced Russian Conversation and Communication,2 - 3 Units, Russian 4 or equivalent,"Offered through: Slavic Languages and Literatures<br/>
Terms offered: Spring 2018, Fall 2016, Fall 2015<br/>
Aimed at fostering advanced conversation and communication skills, this course explores Russian culture through communication. Contains reading, films, vocabulary building, listening exercises, and speaking activities. The course can be taken for two or three credits; for two credits, attendance is required for two classes per week; for three credits, three classes per week.",0
RUSSIAN 120B,Advanced Russian Conversation and Communication,2 - 3 Units, Russian 4 or equivalent,"Offered through: Slavic Languages and Literatures<br/>
Terms offered: Spring 2017, Spring 2016<br/>
Aimed at fostering advanced conversation and communication skills, this course explores Russian culture through communication. Contains reading, films, vocabulary building, listening exercises, and speaking activities. The course can be taken for two or three credits; for two credits, attendance is required for two classes per week; for three credits, three classes per week.",0
RUSSIAN 201,Advanced Russian Proficiency Maintenance,2 - 3 Units, Graduate standing; Russian 103B or equivalent; consent of instructor,"Offered through: Slavic Languages and Literatures<br/>
Terms offered: Spring 2016, Fall 2015<br/>
Advanced work in speaking, writing and comprehension in order to develop and maintain superior proficiency. Discussions and readings will focus on current cultural and political trends and other topics pertaining to Slavic studies. Special attention to the details of contemporary life in Russia and its changing colloquial speech. Conducted in Russian.",0
RUSSIAN 202,Advanced Academic Russian,3 Units," Advanced competence in Russian, graduate standing; or consent of Instructor","Offered through: Slavic Languages and Literatures<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Advanced work in reading, speaking and comprehension for graduate student, aimed at developing and maintaining superior proficiency and competence in academic Russian. Readings and discussions focus on current linguistic and cultural trends. Special attention to contemporary life in Russia, its changing cultural norms and speech, viewed in a broad historical context. The course is conducted",0
RUSSIAN 204,Russian Composition and Style,4 Units, Russian 103B,"Offered through: Slavic Languages and Literatures<br/>
Terms offered: Fall 2016<br/>
Essay-writing, analysis of texts, oral and written reports, and translation.",0
