code,title,units,prereqs,offered,corrupt
"S,SEASN R5A","Self, Representation, and Nation",4 Units, Satisfaction of the Entry Level Writing Requirement,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2017<br/>
This course is devoted to a study of selected literary texts set in various regions of Southeast Asia. The readings will include works by foreign authors who lived and traveled in Southeast Asia and translations of works by Southeast Asian writers. These texts will be used to make comparisons and observations with which to characterize coloniality, nationalism, and postcoloniality. This course satisfies the first half of",0
"S,SEASN R5B",Under Western Eyes,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition. Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
In this course, the student will read selections from the large body of scholarly texts that have been written about Southeast Asia. Expository and argumentative essays by premier scholars such as Sir Thomas Stamford Raffles, Margaret Mead, Clifford Geertz, and Benedict Anderson will be examined. Discussions will cover a broad range of theoretical issues including power, gender, and space. This course satisfies the second half of the Reading",0
"S,SEASN 24",Freshman Seminar,1 Unit,,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen.",0
"S,SEASN 39",Freshman/Sophomore Seminar,2 Units,,"Terms offered: Spring 2018, Spring 2017<br/>
Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 18.",0
"S,SEASN C52",Introduction to the Study of Buddhism,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This introduction to the study of Buddhism will consider materials drawn from various Buddhist traditions of Asia, from ancient times down to the present day. However, the course is not intended to be a comprehensive or systematic survey; rather than aiming at breadth, the course is designed around key themes such as ritual, image veneration, mysticism, meditation, and death. The overarching emphasis throughout the course will be on the hermeneutic",0
"S,SEASN 84",Sophomore Seminar,1 or 2 Units, At discretion of instructor,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores.",0
"S,SEASN 99A",Supervised Independent Study and Research for Lower Division Students: South Asian Studies,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2017, Fall 2014, Spring 2014<br/>
Four-unit limit per term.",0
"S,SEASN 120",Topics in South and Southeast Asian Studies,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Fall 2017<br/>
Designed to permit regular faculty and visitors to explore special topics not normally covered in the curriculum. Focus and readings will change in response to current research interests of instructors and teaching needs of the department.",0
"S,SEASN 140N","Cinematic Asias: Genre, Gender, Community",4 Units,,"Terms offered: Summer 2018 First 6 Week Session<br/>
This course introduces to the study of various genres of South, Southeast, and East Asian cinema, such as auteur, fantasy, kitsch, political, and indie. This will invite rethinking the individual’s place in gendered, sexualized, hyper-urbanized, conflicted, and often violent postcolonial worlds. The course will include readings drawn from critical film theory, postcolonial film criticism, psychoanalysis, and new media.",0
"S,SEASN C145",Buddhism in Contemporary Society,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
A study of the Buddhist tradition as it is found today in Asia. The course will focus on specific living traditions of East, South, and/or Southeast Asia. Themes to be addressed may include contemporary Buddhist ritual practices; funerary and mortuary customs; the relationship between Buddhism and other local religious traditions; the relationship between Buddhist institutions and the state; Buddhist monasticism and its relationship to the",0
"S,SEASN 148","Philippines: History, Literature, Performance",4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2017 First 6 Week Session, Summer 2016 First 6 Week Session<br/>
The course focuses on Philippine history through literature and performance. Among the texts to be discussed are: traditional forms (rituals, poetry, songs, dances) that give insights to belief systems and economic, political, and social life during the indigenous or precolonial period; performance and literary forms that were instruments both of colonial conquest and anti-colonial",0
"S,SEASN 150",Southeast Asian Mythology,4 Units,,"Terms offered: Spring 2017, Fall 2015<br/>
An introduction to the mythologies of Southeast Asia, providing a comparative overview of key myths. We will focus on indigenous narrative traditions encompassing myths of creation and origin, agricultural and maritime myths and practices, the founding of kingdoms, and indigenous geographies. We will further explore the role of myth in the contemporary world.",0
"S,SEASN 160",Philippine Cultural Politics,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2017 First 6 Week Session, Summer 2016 First 6 Week Session<br/>
Can a song inspire a revolution? The course focuses on literary, visual, and performance texts that participated in political discourses in the Philippines. What strategies did the writers and artists employ? How did writers and artists face issues of censorship and persecution? How did social movements influence these texts, and in turn, how did these texts contribute to these",0
"S,SEASN H195A",Senior Honors: South Asian Studies,3 Units, Consent of instructor,"Terms offered: Summer 2016 10 Week Session, Summer 2015 10 Week Session, Fall 2014<br/>
To be eligible for admission for the honors program, students must have and maintain a minimum GPA 3.5 in all courses completed for the major. In addition, the student must enroll in the final semester of the senior year in H195, a course of supervised research to be guided by an instructor chosen in consultation with the major adviser. On the basis of this research the student will prepare and submit an honors",0
"S,SEASN 198A",Directed Group Study for Upper Division Students: South Asian Studies,1 - 4 Units,,"Terms offered: Spring 2018, Fall 2014, Fall 2011<br/>
Tutorial instruction in areas not covered by regularly scheduled courses. Four-unit limit per term.",0
"S,SEASN 199",Supervised Independent Study and Research,1 - 4 Units,,"Terms offered: Summer 2017 10 Week Session, Summer 2016 10 Week Session, Summer 2016 8 Week Session<br/>
Four-unit limit per term.",0
"S,SEASN 199A",Supervised Independent Study and Research: South Asian Studies,1 - 4 Units,,"Terms offered: Spring 2018, Fall 2014, Spring 2014<br/>
Four-unit limit per term.",0
"S,SEASN 199C",Supervised Independent Study and Research: Hindi-Urdu,1 - 4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2014<br/>
Four-unit limit per term.",0
"S,SEASN 199D",Supervised Independent Study and Research: Malay/Indonesian,1 - 4 Units,,"Terms offered: Spring 2018, Spring 2014, Spring 2013<br/>
Four-unit limit per term.",0
"S,SEASN 199E",Supervised Independent Study and Research: Southeast Asian Studies,1 - 4 Units,,"Terms offered: Fall 2016, Fall 2014, Spring 2014<br/>
Four-unit limit per term.",0
"S,SEASN C220",Seminar in Buddhism and Buddhist Texts,2 or 4 Units,,"Terms offered: Fall 2016, Fall 2014, Fall 2013<br/>
Content varies with student interests. The course will normally focus on classical Buddhist texts that exist in multiple recensions and languages, including Chinese, Sanskrit, and Tibetan.",0
"S,SEASN 250",Seminar in South and Southeast Asian Studies,1 - 4 Units, Consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Topics vary from semester to semester.",0
"S,SEASN 290A",Special Studies: South Asian Studies,1 - 5 Units,,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Students may enroll in more than one section of 290, but the total number of units of Special Study in any one semester may not exceed 12.",0
"S,SEASN 290B",Special Studies: Tamil,1 - 5 Units,,"Terms offered: Summer 2016 8 Week Session, Summer 2015 8 Week Session, Fall 2014<br/>
Students may enroll in more than one section of 290, but the total number of units of Special Study in any one semester may not exceed 12.",0
"S,SEASN 290C",Special Studies: Hindi-Urdu,1 - 5 Units,,"Terms offered: Summer 2016 8 Week Session, Summer 2015 8 Week Session, Fall 2014<br/>
Students may enroll in more than one section of 290, but the total number of units of Special Study in any one semester may not exceed 12.",0
"S,SEASN 290D",Special Studies: Malay/Indonesian,1 - 5 Units,,"Terms offered: Summer 2016 8 Week Session, Summer 2015 8 Week Session, Fall 2014<br/>
Students may enroll in more than one section of 290, but the total number of units of Special Study in any one semester may not exceed 12.",0
"S,SEASN 290E",Special Studies: Southeast Asian Studies,1 - 5 Units,,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
Students may enroll in more than one section of 290, but the total number of units of Special Study in any one semester may not exceed 12.",0
"S,SEASN 290F",Special Studies: Sanskrit,1 - 5 Units,,"Terms offered: Summer 2016 8 Week Session, Summer 2015 8 Week Session, Spring 2015<br/>
Students may enroll in more than one section of 290, but the total number of units of Special Study in any one semester may not exceed 12.",0
"S,SEASN 294",Methods in South &amp; Southeast Asian Studies,4 Units,,"Terms offered: Spring 2018, Fall 2015, Fall 2013<br/>
Introduction to the principal, historical, and contemporary methods for study of the literatures, languages, religions, cultures, and peoples of South and Southeast Asia. Discussion of the disciplinary formations of Orientalism, philology, anthropology, comparative religions, gender studies, and history. Topics and readings change year to year. Seminar work will culminate in a one day student symposium.",0
"S,SEASN 299A",Dissertation Preparation and Related Research: South Asian Studies,1 - 12 Units, Advanced candidate with consent of thesis supervisor and graduate adviser,"Terms offered: Spring 2017, Fall 2016, Summer 2016 8 Week Session<br/>
Normally reserved for students directly engaged in writing the doctoral dissertation.",0
"S,SEASN 299B",Dissertation Preparation and Related Research: Tamil,1 - 12 Units, Advanced candidate with consent of thesis supervisor and graduate adviser,"Terms offered: Spring 2018, Spring 2017, Fall 2014<br/>
Normally reserved for students directly engaged in writing the doctoral dissertation.",0
