code,title,units,prereqs,offered,corrupt
SCANDIN R5A,Reading and Composition,4 Units, Satisfaction of the Entry Level Writing Requirement,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Reading and composition in connection with the representation of Scandinavia by outsiders and insiders. Satisfies the first half of the Reading and Composition requirement.",0
SCANDIN R5B,Reading and Composition,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
Reading and composition in connection with the representation of Scandinavia by outsiders and insiders. Satisfies the second half of the Reading and Composition requirement.",0
SCANDIN 24,Freshman Seminars,1 Unit,,"Terms offered: Fall 2016, Fall 2012, Spring 2011<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0
SCANDIN 60,Heroic Legends of the North,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Exploration of the heroic narratives of the Northern Middle Ages with a focus on both the hero and the heroic ethos in a period or radical cultural, social and religious change and on a particular body of literature, the Scandinavian versions of Germanic heroic narrative. Required of majors.<br/>",0
SCANDIN 75,Literature and Culture of the Nordic World,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Fall 2017, Fall 2016<br/>
This course explores the most important cultural contributions of Denmark, Finland, Iceland, Norway, and Sweden. It touches upon the shared history and culture, and then focuses on the eighteenth-, nineteenth-, and twentieth-century developments in literature, theater, film, art, design, music, and contemporary political and social issues, such as the welfare state, crime fiction, and recent immigration. Readings will include",0
SCANDIN 98,Directed Group Study,1 - 4 Units, Freshman or sophomore standing,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Group study of selected topics not covered by regularly scheduled courses.",0
SCANDIN 100A,"Intermediate Scandinavian Languages (Danish, Norwegian, Swedish)",4 Units," Danish 1B, Norwegian 1B, or Swedish 1B or consent of instructor","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
In the context of inter-Scandinavian communication, students will further develop their communicative competence, their reading and writing proficiency and cultural understanding in their own target language (Danish, Norwegian, or Swedish). Workload: three hours of work outside class per week with one hour of communicative class work assigned on bCourses. Oral and written midterm and final exam.",0
SCANDIN 100B,"INTERMEDIATE SCANDINAVIAN LANGUAGES (DANISH, NORWEGIAN, SWEDISH)",4 Units, Scandinavian 100A or consent of instructor,"Terms offered: Spring 2018, Spring 2017, Spring 2015<br/>
In the context of inter-Scandinavian communication, students will acquire the oral proficiency necessary to function in authentic situations of language use with respect to grammatical, functional, and sociolinguistic skills in their own target language (Danish, Norwegian, or Swedish). Students will read and interpret literary and nonliterary texts from a cultural cross-cultural perspective. Workload: Four hours of work outside class per",0
SCANDIN 101A,Introduction to Old Norse I,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Introduces undergraduate students to the grammar of the vernacular written language of Iceland and Norway in the Middle Ages. Linguistic mastery is emphasized. By the end of the semester students should be able to read saga style Old Norse prose texts in normalized orthography with the help of a dictionary. To this end, lectures will lay out the morphology of the Old Norse language systematically and thoroughly. In addition to the lectures, much",0
SCANDIN 101B,Introduction to Old Norse II,4 Units, Scandinavian 101A,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introduction to Old Norse literature through readings of Old Norse texts in their original language and translation. Critical essays on Old Norse literature and scholarship illuminating the historical context in which the texts were written, transmitted, and read will supplement the readings of primary texts. The class will also deepen the students’ understanding of Old Norse grammar and metrics, and introduce them to sub-fields of Old Norse",0
SCANDIN 106,The Works of Hans Christian Andersen,4 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Spring 2017<br/>
Reading and discussion of Hans Christian Andersen's major works, including fairy tales, short stories, novels, autobiographies, and diaries. Reading and discussion in English.",0
SCANDIN 115,Studies in Drama and Film,4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2015<br/>
Variable subject matter. Sample topics: history of Scandinavian drama and films of such directors as Ingmar Bergman and Carl Dreyer. Readings and discussion in English.",0
SCANDIN 116,Studies in Prose,4 Units,,"Terms offered: Spring 2018, Spring 2014, Spring 2009<br/>
Variable subject matter; see departmental announcement for description. Sample topics: Knut Hamsun, Kierkegaard, H. C. Andersen, Isak Dinesen, and other storytellers. Readings and discussion in English.",0
SCANDIN 120,The Novel in Scandinavian,4 Units,,"Terms offered: Spring 2016, Fall 2015, Spring 2013<br/>
Reading and discussion of the great Scandinavian novels; the development of the novel. Readings and discussion in English.",0
SCANDIN 123,Viking and Medieval Scandinavia,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Internal and external history of Scandinavian culture and civilization from the late 8th century through the 15th century. Readings and discussion in English.",0
SCANDIN 125,Old Norse Literature,4 Units,,"Terms offered: Fall 2016, Fall 2015, Spring 2015<br/>
Reading and discussion of some of the Icelandic sagas and selections from the Eddas and skaldic verse. Readings and discussion in English.",0
SCANDIN 145,Senior Seminar,2 Units, 140A-140B,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Intensive study of a single topic, several reports, a longer paper.",0
SCANDIN 149,Major Studies,1 Unit, Knowledge of a Scandinavian language,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Additional work, for majors in Scandinavian and other qualified students with consent of instructor, in connection with one of the following: Scandinavian C107, C108, 115, 116, 117, 120,123, 125, C160,165. Students attend lectures and do all written work in the ""main"" course and also read assignments in the Scandinavian languages and write a short paper.",0
SCANDIN 150,Studies in Scandinavian Literature,4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
Variable subject matter; see departmental announcement for description. Sample topics: Scandinavian romanticism; the Modern Breakthrough; literature by and about women; the political tradition. Readings and discussion in English.",0
SCANDIN 160,Scandinavian Myth and Religion,4 Units,,"Terms offered: Spring 2018, Summer 2017 Second 6 Week Session, Spring 2017<br/>
Religious beliefs and practices during the Viking Age in Scandinavia and their manifestations in later recordings. Readings and discussion in English.",0
