code,title,units,prereqs,offered,corrupt
SLAVIC R5A,Reading and Composition,4 Units, Satisfaction of the Entry Level Writing Requirement,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Reading and composition course based on works of Russian and other Slavic writers, either written in English or translated into English. As students develop strategies of writing and interpretation, they will become acquainted with a particular theme in Russian and/or Slavic literatures and their major voices. R5A satisfies the first half of the Reading and Composition requirement, and R5B satisfies the second half.",0
SLAVIC R5B,Reading and Composition,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Summer 2018 8 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
Reading and composition course based on works of Russian and other Slavic writers, either written in English or translated into English. As students develop strategies of writing and interpretation, they will become acquainted with a particular theme in Russian and/or Slavic literatures and their major voices. R5A satisfies the first half of the Reading and Composition requirement, and R5B satisfies the",0
SLAVIC 24,Freshman Seminar,1 Unit,,"Terms offered: Spring 2018, Spring 2016, Fall 2015<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen.",0
SLAVIC 39,Freshman/Sophomore Seminar,2 Units,,"Terms offered: Spring 2017<br/>
Freshman and Sophomore seminars offer lower-division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.",0
SLAVIC 39L,Freshman/Sophomore Seminar,2 - 4 Units,,"Terms offered: Spring 2016, Fall 2009<br/>
Freshman and Sophomore seminars offer lower-division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty, but the suggested limit is 25.",0
SLAVIC 45,Nineteenth-Century Russian Literature,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Nineteenth-century Russian literature, including Pushkin, Lermontov, Gogol, Turgenev, Tolstoy, Dostoevsky, Chekhov.<br/>
<br/>
The class is taught in English, on the basis of English translations; students with knowledge of Russian are encouraged to do at least some of the reading in the original.<br/>",0
SLAVIC 46,Twentieth-Century Russian Literature,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Russian, Soviet and post-Soviet literature from the 1900 to the present viewed in a socio-cultural and political context.<br/>
<br/>
The class is taught in English, on the basis of English translations; students with knowledge of Russian are encouraged to do at least some of the reading in the original.<br/>",0
SLAVIC 50,Introduction to Russian/East European/Eurasian Cultures,3 Units,,"Terms offered: Summer 2018 8 Week Session, Fall 2017, Spring 2017<br/>
This course introduces students to the cultures of the peoples of the former Soviet bloc (Russia and other areas of the former Soviet Union, including Central Asia and the Caucasus, and Eastern Europe), from early times to the present, with the emphasis on cultural identity. Readings in history, fiction, folklore, viewing of films, and art. Thematic units include formation of the Russian civilization, Slavic nationalism in the",0
SLAVIC 98,Directed Group Study,1 - 4 Units, Freshman or sophomore standing,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Group study of selected topics not covered by regularly scheduled courses.",0
SLAVIC 99,Individual Study,1 - 4 Units, 3.0 GPA,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Supervised independent study for lower division students with a minimum 3.0 GPA.",0
SLAVIC 100,"Seminar: Russian, East European, and Eurasian Cultures",3 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
An overview of various aspects of cultural history, literature, language, and society of Russia, the former Soviet Union, and Eastern Europe. Variable topics. Course readings include primary texts (literature, film, popular culture, journalism) and scholarly studies. Course work emphasizes students' research. Final research paper or project required.",0
SLAVIC 100L,"Advanced Readings in Russian, East European and Eurasian Languages",1 Unit," Consent of instructor. Knowledge of an appropriate Slavic, East European or Eurasian language with approval of the instructor. Concurrent enrollment in an upper-division class in the Department of Slavic Languages and Literatures","Terms offered: Spring 2018, Fall 2017<br/>
Additional readings in the original language to be coordinated with an appropriate upper division lecture course with readings in English offered by the Department of Slavic Languages and Literatures. This includes all courses in the Slavic 130, 140, 150, 160, and 170 and Armenian 120 series. Supervised by the instructor of the lecture course in which the student is also enrolled. Attend lectures and do all assigned written work in the main lecture course",0
SLAVIC 100R,"Research in Russian, East European and Eurasian Studies",1 Unit, Consent of instructor. Concurrent enrollment in an upper-division class in the Department of Slavic Languages and Literatures,"Terms offered: Spring 2018, Fall 2017<br/>
Special research project to be coordinated with an appropriate upper division lecture course offered by the Department of Slavic Languages and Literatures. (This includes courses in the Slavic 130, 140, 150, 160, and 170 series and Armenian 120 series). Supervised by the instructor of the lecture course in which the student is also enrolled. Students attend lectures and do all assigned written work in the main lecture course and also perform additional",0
SLAVIC 131,"Literature, Art, and Society in 20th-Century Russia",4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2013<br/>
A lecture course examining Russian literature and culture in the 20th century. The course will focus on the interaction of literature, other artistic forms (painting, photography, or film), and broader social and ideological changes in one of the key transitional periods of the 20th century. Periods to be examined include the transition to Communism in the post-revolutionary 20s and the retreat from Communism (the perestroika 80s and the post-Communist",0
SLAVIC 133,The Novel in Russia and the West,4 Units,,"Terms offered: Spring 2017, Fall 2009, Spring 2009<br/>
Study of major Russian and Western (European and American) 19th- and 20th-century novels, and their interrelations. Variable reading list. See Department announcement for description.",0
SLAVIC 134C,Dostoevsky,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
A survey of the writer's principal artistic works, treated in relation to his life and to developments in Russian and European literature. Extensive outside reading required for this course.",0
