code,title,units,prereqs,offered,corrupt
SOC WEL 97,Field Studies in Social Welfare,1 - 3 Units,,"Terms offered: Fall 2017, Spring 2017, Summer 2016 8 Week Session<br/>
Supervised experience relevant to specific aspects of social welfare in off-campus non-profit and governmental organizations.",0
SOC WEL 98,Group Study in Social Welfare,1 - 3 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Group study on selected social welfare topics. Open to freshmen and sophomores.",0
SOC WEL 98BC,Berkeley Connect in Social Welfare,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department",0
SOC WEL 105,Introduction to Child Welfare in California and the U.S.,2 Units,,"Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2016 10 Week Session<br/>
This course introduces students to the purpose, functions, and programs of the public child welfare system in the United States, with a particular focus on California, in a historical context, and with an emphasis on social justice and diversity concerns in policy-making and service delivery. The course explores U.S. child welfare history/historical traumas, cultural and diversity",0
SOC WEL 107,"Foundations, Philanthropy, and the Social Services: Grant Writing for Program Development",3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Course explores the role of philanthropy, foundations, and proposal development in American society. A grant writing exercise in a Bay Area community agency is required.",0
SOC WEL 110,Social Work As a Profession,3 Units,,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2017<br/>
This course examines social work as a profession: the practice of the profession, the organizational context of professional practice, and the ethics of the profession.",0
SOC WEL 112,Social Welfare Policy,3 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Summer 2017 8 Week Session<br/>
Analysis of social welfare policies and programs including public assistance, social insurance, social services, and health and mental health.",0
SOC WEL 114,Practice in Social Work,3 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
This course introduces students to basic social work practice skills through the generalist intervention model. Both direct and indirect practice methods are introduced. Students are exposed to both theory and research that informs understanding of client system’s strengths, problem development, and intervention. Biophysical, psychological, environmental, social, and cultural contributions to effective and ethical social work",0
SOC WEL 116,Current Topics in Social Welfare,2 Units, Social Welfare 110,"Terms offered: Summer 2017 Second 6 Week Session, Fall 2016, Spring 2016<br/>
Course examines current problems and issues in the field of social welfare.",0
SOC WEL 116H,Homelessness in America,2 Units, 110,"Terms offered: Spring 2016<br/>
The course will address issues of homelessness in the context of social responsibility for the poor and definitions of poverty and need. It will consider the legal, social, and economic context of homelessness. It will look at homelessness as a full-time job of survival, exploring the prospects of the homeless for changing their condition. The course will look at the diversity of the homeless, their special needs, handicaps, and behaviors. It will explore the newly",0
SOC WEL 148,Substance Abuse Treatment,2 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2017 First 6 Week Session, Spring 2017<br/>
Provides an overview of theoretical perspectives and practice models in the substance abuse field. Addresses issues of misuse and addiction, impacts on the family, and the range of intervention modalities including prevention and treatment. Students will also become familiar with alcohol and drug related problems including mental disorders, HIV/AIDS, and criminal behavior.",0
SOC WEL 150L,Sexuality and Social Work,2 Units,,"Terms offered: Summer 2016 10 Week Session, Summer 2015 First 6 Week Session, Summer 2014 First 6 Week Session<br/>
This course introduces the developmental, psychological and environmental issues related to sexuality at different stages in life, and in different social service venues. It includes an introduction to the strengths perspective, exploration of heterosexist aspects of society, policies related to a person’s sexuality and gender, and ethics and diversity issues often arising in work",0
SOC WEL 151,Social Work with an Asian American Perspective,2 Units,,"Terms offered: Summer 2017 Second 6 Week Session, Spring 2002, Fall 2000<br/>
Asian Americans are among the fastest growing minorities who originate from vast and diverse regions of Asia. This course provides an overview of their histories of migration, and examines their cultural values, adaptation and ethnic identity formation, and major psychosocial challenges they face in American society. Understanding these psychosocial influences will enable students to begin applying cultural humility, and",0
SOC WEL 155,Finding Individual Donors for Human Service Agencies,2 Units,,"Terms offered: Spring 2018, Spring 2017, Summer 2016 10 Week Session<br/>
Students will leave this course understanding how nonprofits decide what fundraising strategies to pursue and will have a broad knowledge of a variety of fundraising strategies with particular emphasis on raising money from individual donors. Students will be familiar with the most common strategies employed by human service agencies such as personal solicitation, direct mail, on-line, and special events. In addition, they",0
SOC WEL 181,Social Science and Crime Prevention Policy,3 Units,,"Terms offered: Spring 2017, Spring 2016<br/>
In this interdisciplinary course students examine the relationships among social science, law, and crime prevention policy. Emphasis is placed on how psychological science (clinical, developmental, social) can inform decisions about individuals at high risk for repeated involvement in the juvenile and criminal justice systems. Topics of focus include risk assessment, adolescent development and juvenile justice, and prevention/intervention/correctional",0
