code,title,units,prereqs,offered,corrupt
SOCIOL 1,Introduction to Sociology,4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Introduces students who are considering majoring in sociology to the basic topics, concepts, and principles of the study of society. This course is required for the major; 1 or any version of 3 is prerequisite for other sociology classes; students not considering a sociology major are directed to any version of 3 or 3AC.",0
SOCIOL N1H,Introduction to Sociology for Pre-Health Majors,4 Units," It is open to all majors, and there are no prerequisites. This course is required for the major; 1 or any version of 3 is prerequisite for other sociology classes","Terms offered: Summer 2018 8 Week Session, Summer 2017 8 Week Session, Summer 2016 8 Week Session<br/>
This course surveys the major theories, concepts, and substantive areas of sociology in ways that are specifically designed for undergraduate students pursuing careers in health and medicine as well as students who intend to major in sociology. In this course, the readings, lectures, and assignments have been chosen with the needs of pre­-health students in mind, consisting of units on social relationships",0
SOCIOL R1B,Sociological Reading & Composition,4 Units," 1, 3, 3AC; or consent of instructor","Terms offered: Summer 2018 First 6 Week Session, Fall 2017<br/>
This course aims to; assist you in developing a clear, persuasive and personal prose style in English, to refine and build upon the close reading techniques you practiced in R1A and to equip you with the skills necessary for writing a research paper_a standard requirement of many upper-division (100-level) courses. Since our readings mostly cover social science, this course also introduces concepts useful for reading texts in these",0
SOCIOL 3AC,Principles of Sociology: American Cultures,4 Units,,"Terms offered: Spring 2018, Fall 2017, Summer 2017 8 Week Session<br/>
Comparing the experience of three out of five ethnic groups (e.g. African Americans, Asian Americans, Chicano/Latino, European Americans, and Native Americans) we shall examine historically how each people entered American society and built communities and transformed their cultures in the process. Students will be introduced to the sociological perspective, characteristic methods of research, and such key concepts as culture",0
SOCIOL 5,Evaluation of Evidence,4 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
A review of methodological problems in assessing data relating to social life. Topics to be covered include: posing a sociological problem, gaining access to data, measuring, establishing correlation and causal connection among data, and relating data to theoretical context.",0
SOCIOL 7,The Power of Numbers: Quantitative Data in Social Sciences,4 Units," Soc. 1, 3, 3AC or consent of instructor","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
This course will provide students with a set of skills to understand, evaluate, use, and produce quantitative data about the social world. It is intended specifically for social science majors, and focuses on social science questions. Students will learn to: produce basic graphs, find good-quality and relevant data on the web, manipulate data in a spreadsheet, including producing pivot tables, understand and calculate basic statistical",0
SOCIOL 98,Directed Group Study,1 - 4 Units, Consent of Instructor,"Terms offered: Spring 2016, Fall 2015, Spring 2015<br/>
Group studies of selected topics which vary over time.",0
SOCIOL 98BC,Berkeley Connect,1 Unit, Consent of Instructor,"Terms offered: Spring 2017, Fall 2016, Spring 2016<br/>
Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department",0
SOCIOL 101,Sociological Theory I,5 Units," 1, 3 or 3AC, or consent of instructor","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
First half of a year-long course on the history of social thought as a source of present-day problems and hypotheses.",0
SOCIOL 102,Sociological Theory II,5 Units," 1, 3, 3AC or consent of instructor","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Second half of a year-long course on the history of social thought as a source of present-day problems and hypotheses.",0
SOCIOL 103,Advanced Study in Social Theory,4 Units, 101A-101B or 101 and 102,"Terms offered: Fall 2016, Spring 2015, Fall 2014<br/>
Course involves pursuing study in subfields of sociological theory. The course presumes a general background in social theory.",0
SOCIOL 105,Research Design and Sociological Methods,5 Units, 5 or consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Problems of research design, measurement, and data collection, processing, and analysis will be considered. Attention will be given to both qualitative and quantitative studies.",0
