code,title,units,prereqs,offered,corrupt
SPANISH 1,Elementary Spanish,5 Units,,"Offered through: Spanish and Portuguese<br/>
Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Beginners' course. Not open to students who have completed more than two years of high school Spanish, or to native speakers.",0
SPANISH 1M,Spanish for Health Care Professionals,5 Units,,"Offered through: Spanish and Portuguese<br/>
Terms offered: Summer 2018 8 Week Session<br/>
A beginning Spanish language course for individuals studying or working in health-related areas. It is designed for students with little or no formal background in Spanish. The course is devoted to the study of medical Spanish terminology and the cultural issues related to successful interactions with Spanish-speaking patients and their families in the clinical encounter. It will introduce a wide array of",0
SPANISH R1A,Reading and Composition Through Readings from the Spanish-Speaking World,4 Units, Satisfaction of the Entry Level Writing Requirement,"Offered through: Spanish and Portuguese<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
The course will offer students an introduction to the literature and culture of Spanish-speaking worlds, will help them develop their skills as readers and critical thinkers and make significant progress in their ability to write coherent, intellectually forceful expository prose. We will focus on analytical writing by developing control of argument and style. Essays will be produced through a process",0
SPANISH R1B,Reading and Composition Through Readings from the Spanish-Speaking World,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature and Composition.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Offered through: Spanish and Portuguese<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The course will offer students an introduction to the literature and culture of Spanish-speaking worlds, will help them develop their skills as readers and critical thinkers and make significant progress in their ability to write coherent, intellectually forceful expository prose. We will focus on analytical writing by developing control of argument and style. Essays will be produced through a",0
SPANISH 2,Elementary Spanish,5 Units, 1 or equivalent,"Offered through: Spanish and Portuguese<br/>
Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Continuation of 1. Not open to students who have completed more than three years of high school Spanish, or native speakers.",0
SPANISH 3,Intermediate Spanish,5 Units, 2 or equivalent,"Offered through: Spanish and Portuguese<br/>
Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Continuation of 2. Course includes review and development of grammatical concepts taught in Spanish 1-2, as well as further practice in composition.",0
SPANISH N3,Intermediate Spanish,5 Units, 2. 16 must be taken concurrently,"Offered through: Spanish and Portuguese<br/>
Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2014 10 Week Session<br/>
This five week course will have one week on the Berkeley campus and four weeks in Madrid, Spain, and is the first semester of the second year sequence. The students will have a complete grammar review of Spanish, focusing more on those grammatical aspects that present linguistic challenges. The course includes a writing component, using",0
SPANISH 4,Intermediate Spanish,5 Units, 3 or equivalent,"Offered through: Spanish and Portuguese<br/>
Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Continuation of 3. Development of grammatical concepts taught in Spanish 1-3 and further practice in composition.",0
SPANISH N4,Intermediate Spanish,5 Units, 3,"Offered through: Spanish and Portuguese<br/>
Terms offered: Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session, Summer 2015 Second 6 Week Session<br/>
Puts emphasis on more formal aspects of writing in Spanish; also a grammar review of the structures helps students reach this goal. Includes cultural components: visits to historic sites outside of Madrid and within the capital. Students will give oral presentations in class on those visits and personal presentations of their activities",0
SPANISH 15,Intensive Beginning Spanish Workshop,10 Units,,"Offered through: Spanish and Portuguese<br/>
Terms offered: Summer 2016 10 Week Session, Summer 2016 8 Week Session, Summer 2015 8 Week Session<br/>
A beginning intensive course that is the equivalent of Spanish 1 and 2.",0
