code,title,units,prereqs,offered,corrupt
STAT 0PX,Preparatory Statistics,1 Unit, Consent of instructor,"Terms offered: Summer 2016 10 Week Session, Summer 2015 10 Week Session, Summer 2014 10 Week Session<br/>
This course assists entering Freshman students with basic statistical concepts and problem solving. Designed for students who do not meet the prerequisites for 2. Offered through the Student Learning Center.",0
STAT 2,Introduction to Statistics,4 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
Population and variables. Standard measures of location, spread and association. Normal approximation. Regression. Probability and sampling. Binomial distribution. Interval estimation. Some standard significance tests.",0
STAT C8,Foundations of Data Science,4 Units," This course may be taken on its own, but students are encouraged to take it concurrently with a data science connector course (numbered 88 in a range of departments)","Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017, Summer 2017 8 Week Session<br/>
Foundations of data science from three perspectives: inferential thinking, computational thinking, and real-world relevance. Given data arising from some real-world phenomenon, how does one analyze that data so as to understand that phenomenon? The course teaches critical concepts and skills in computer programming and statistical inference, in conjunction with hands-on analysis of real-world datasets",0
STAT 20,Introduction to Probability and Statistics,4 Units, One semester of calculus,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
For students with mathematical background who wish to acquire basic concepts. Relative frequencies, discrete probability, random variables, expectation. Testing hypotheses. Estimation. Illustrations from various fields.",0
STAT 21,Introductory Probability and Statistics for Business,4 Units, One semester of calculus,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Descriptive statistics, probability models and related concepts, sample surveys, estimates, confidence intervals, tests of significance, controlled experiments vs. observational studies, correlation and regression.",0
STAT W21,Introductory Probability and Statistics for Business,4 Units, One semester of calculus,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Summer 2017 8 Week Session<br/>
Reasoning and fallacies, descriptive statistics, probability models and related concepts, combinatorics, sample surveys, estimates, confidence intervals, tests of significance, controlled experiments vs. observational studies, correlation and regression.",0
STAT 24,Freshman Seminars,1 Unit,,"Terms offered: Fall 2016, Fall 2003, Spring 2001<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen.",0
STAT 28,Statistical Methods for Data Science,4 Units," Statistics/Information/Computer Science C8 is the only course prerequisite. In addition, mathematical fluency and comfort at the level of precalculus (Math 32) is expected","Terms offered: Spring 2018, Spring 2017<br/>
This is a lower-division course that is a follow-up to STAT8/CS8 (Foundations of Data Science). The course will teach a broad range of statistical methods that are used to solve data problems. Topics will include group comparisons and ANOVA, standard parametric statistical models, multivariate data visualization, multiple linear regression and classification, classification and regression trees and random forests. An important focus of the course will",0
STAT 88,Probability and Mathematical Statistics in Data Science,2 Units," One semester of calculus. This course is meant to be taken concurrently with Computer Science C8/Statistics C8/Information C8. Students may take more than one 88 (data science connector) course if they wish, ideally concurrent with or after having taken the C8 course","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
In this connector course we will state precisely and prove results discovered in the foundational data science course through working with data. Topics include: total variation distance between discrete distributions; the mean, standard deviation, and tail bounds; correlation, and the derivation of the regression equation; probabilities, random variables, and the Central Limit Theorem; probabilistic models; symmetries in random permutations;",0
STAT 89A,Linear Algebra for Data Science,4 Units, One year of calculus. Prerequisite or corequisite: Foundations of Data Science (,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
An introduction to linear algebra for data science. The course will cover introductory topics in linear algebra, starting with the basics; discrete probability and how prob- ability can be used to understand high-dimensional vector spaces; matrices and graphs as popular mathematical structures with which to model data (e.g., as models for term-document corpora, high-dimensional regression problems, ranking/classification of web data, adjacency",1
STAT C100,Principles & Techniques of Data Science,4 Units, Computer Science/Information/Statistics C8 or Engineering 7; and either Computer Science 61A or Computer Science 88. Corequisite: Mathematics 54 or Electrical Engineering 16A,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
In this course, students will explore the data science lifecycle, including question formulation, data collection and cleaning, exploratory data analysis and visualization, statistical inference and prediction​, and decision-making.​ This class will focus on quantitative critical thinking​ and key principles and techniques needed to carry out this cycle. These include languages for transforming, querying and analyzing data; algorithms for machine",0
STAT 131A,Introduction to Probability and Statistics for Life Scientists,4 Units, One semester of calculus or consent of instructor,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Ideas for estimation and hypothesis testing basic to applications, including an introduction to probability. Linear estimation and normal regression theory.",0
STAT 133,Concepts in Computing with Data,3 Units,,"Terms offered: Spring 2018, Fall 2017, Summer 2017 10 Week Session<br/>
An introduction to computationally intensive applied statistics. Topics will include organization and use of databases, visualization and graphics, statistical learning and data mining, model validation procedures, and the presentation of results.",0
STAT 134,Concepts of Probability,4 Units, One year of calculus,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
An introduction to probability, emphasizing concepts and applications. Conditional expectation, independence, laws of large numbers. Discrete and continuous random variables. Central limit theorem. Selected topics such as the Poisson process, Markov chains, characteristic functions.",0
STAT 135,Concepts of Statistics,4 Units, Statistics 134 and linear algebra (Mathematics 54 or equivalent). Statistics 133 strongly recommended,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
A comprehensive survey course in statistical theory and methodology. Topics include descriptive statistics, maximum likelihood estimation, non-parametric methods, introduction to optimality, goodness-of-fit tests, analysis of variance, bootstrap and computer-intensive methods and least squares estimation. The laboratory includes computer-based data-analytic applications to science and engineering.",0
STAT 140,Probability for Data Science,4 Units," Statistics/Computer Science/Information C8 and one year of calculus at the level of Mathematics 1A-1B or higher. Co-requisite: Mathematics 54, Electrical Engineering 16A, or equivalent linear algebra course","Terms offered: Spring 2018, Spring 2017<br/>
An introduction to probability, emphasizing the combined use of mathematics and programming to solve problems. Random variables, discrete and continuous families of distributions. Bounds and approximations. Dependence, conditioning, Bayes methods. Convergence, Markov chains. Least squares prediction. Random permutations, symmetry, order statistics. Use of numerical computation, graphics, simulation, and computer algebra.",0
STAT 150,Stochastic Processes,3 Units, 101 or 103A or 134,"Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
Random walks, discrete time Markov chains, Poisson processes. Further topics such as: continuous time Markov chains, queueing theory, point processes, branching processes, renewal theory, stationary processes, Gaussian processes.",0
STAT 151A,Linear Modelling: Theory and Applications,4 Units, 102 or 135. 133 recommended,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
A coordinated treatment of linear and generalized linear models and their application. Linear regression, analysis of variance and covariance, random effects, design and analysis of experiments, quality improvement, log-linear models for discrete multivariate data, model selection, robustness, graphical techniques, productive use of computers, in-depth case studies.",0
STAT 152,Sampling Surveys,4 Units, 101 or 134. 133 and 135 recommended,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Theory and practice of sampling from finite populations. Simple random, stratified, cluster, and double sampling. Sampling with unequal probabilities. Properties of various estimators including ratio, regression, and difference estimators. Error estimation for complex samples.",0
STAT 153,Introduction to Time Series,4 Units," 101, 134 or consent of instructor. 133 or 135 recommended","Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
An introduction to time series analysis in the time domain and spectral domain. Topics will include: estimation of trends and seasonal effects, autoregressive moving average models, forecasting, indicators, harmonic analysis, spectra.",0
