code,title,units,prereqs,offered,corrupt
UGBA C5,Introduction to Entrepreneurship,2 Units,,"Offered through: Business Administration<br/>
Terms offered: Spring 2017, Fall 2015, Fall 2014<br/>
This course offers students a taste of what it’s really like to start a business. In addition to learning key foundational entrepreneurial concepts such as idea generation & evaluation, customer & product development, creating a business model, fundraising, marketing, and scaling & exiting a business, students will also hear from successful entrepreneurs who share their perspectives and",0
UGBA 10,Principles of Business,3 Units,,"Offered through: Business Administration<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
This course provides an introduction to the study of the modern business enterprise. The course is taught in five modules, the order of which may vary from semester to semester. The first examines the role and governance of business enterprise in a market economy. The second concentrates on financial issues, while the third looks at the problems of managing people in organizations. The fourth examines",0
UGBA 39E,Freshman/Sophomore Seminar,2 - 4 Units, Priority given to freshmen and sophomores,"Offered through: Business Administration<br/>
Terms offered: Spring 2018, Fall 2016, Fall 2015<br/>
Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.",0
UGBA 96,Lower Division Special Topics in Business Administration,1 - 4 Units,,"Offered through: Business Administration<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Study in various fields of business administration for lower division students. Topics will vary from year to year and will be announced at the beginning of each semester.",0
UGBA 100,Business Communication,2 Units, Restricted to Undergraduate Business Administration Majors Only,"Offered through: Business Administration<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Theory and practice of effective communication in a business environment. Students practice what they learn with oral presentations and written assignments that model real-life business situations.",0
UGBA 101A,Microeconomic Analysis for Business Decisions,3 Units," Economics 1, Mathematics 1A or 16A, Statistics 21, or equivalents","Offered through: Business Administration<br/>
Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2017<br/>
Economic analysis applicable to the problems of business enterprises with emphasis on the determination of the level of prices, outputs, and inputs; effects of the state of the competitive environment on business and government policies.",0
UGBA 101B,Macroeconomic Analysis for Business Decisions,3 Units," Economics 1, Mathematics 1A or 16A, Statistics 21, or equivalents","Offered through: Business Administration<br/>
Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
Analysis of the operation of the market system with emphasis on the factors responsible for economic instability; analysis of public and business policies which are necessary as a result of business fluctuations.",0
UGBA 102A,Introduction to Financial Accounting,3 Units,,"Offered through: Business Administration<br/>
Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2017<br/>
The identification, measurement, and reporting of financial effects of events on enterprises, with a particular emphasis on business organization. Preparation and interpretation of balance sheets, income statements, and statements of cash flows.",0
UGBA 102B,Introduction to Managerial Accounting,3 Units, 102A,"Offered through: Business Administration<br/>
Terms offered: Summer 2018 Second 6 Week Session, Spring 2018, Fall 2017<br/>
The uses of accounting systems and their outputs in the process of management of an enterprise. Classification of costs and revenue on several bases for various uses; budgeting and standard cost accounting; analyses of relevant costs and other data for decision making.",0
UGBA W102A,Financial Accounting,3 Units,,"Offered through: Business Administration<br/>
Terms offered: Summer 2018 First 6 Week Session<br/>
The identification, measurement, and reporting of financial effects of events on enterprises, with a particular emphasis on business organization. Preparation and interpretation of balance sheets, income statements, and statements of cash flows.",0
UGBA 103,Introduction to Finance,4 Units, 101A,"Offered through: Business Administration<br/>
Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
Analysis and management of the flow of funds through an enterprise. Cash management, source and application of funds, term loans, types and sources of long-term capital. Capital budgeting, cost of capital, and financial structure. Introduction to capital markets.",0
UGBA 104,Analytic Decision Modeling Using Spreadsheets,3 Units," Mathematics 1B or 16B, Statistics 21, or equivalents","Offered through: Business Administration<br/>
Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2017<br/>
This course provides an introduction to several quantitative methods used to facilitate complex decision-making in business, with applications in many different industries, at different levels in the organization, and with different scopes of decisions. The power of the methods covered in this class is further enhanced by implementing them in spreadsheet software, which allows",0
UGBA 105,Leading People,3 Units,,"Offered through: Business Administration<br/>
Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2017<br/>
A general descriptive and analytical study of organizations from the behavioral science point of view. Problems of motivation, leadership, morale, social structure, groups, communications, hierarchy, and control in complex organizations are addressed. The interaction among technology, environment, and human behavior are considered. Alternate theoretical models are discussed",0
