code,title,units,prereqs,offered,corrupt
UGIS 82,K-8 Teaching and Inquiry-Based Lesson Design in the Science and Mathematics Classroom,2 Units,,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Fall 2017<br/>
This course surveys basic approaches to K-8 science and math teaching through modeling inquiry-based teaching and discussion. Topics include inquiry-based pedagogy, assessment techniques, lesson plan design and revision, and child development. Students are placed in science and math learning environments with upper elementary and middle school children to practice teaching. This seminar offers an opportunity to explore teaching",0
UGIS 98,Directed Group Study for Lower Division Students,1 - 4 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Seminars for the group study of topics not covered by regularly scheduled courses. Topics may vary from semester to semester.",0
UGIS 110,Introduction to Disability Studies,3 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course focuses on the social and personal meaning of disability and chronic illness. We will explore definitions and conceptual models for the study of disability, the history of disabled people, bio-ethical perspectives, the depiction of disability in literature and the arts, public attitudes, and legal and social policies. The course will investigate the interaction of disability with social factors such as gender, sexual orientation, race",0
UGIS 112,Women and Disability,3 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course will explore the intersection of women's experience and disability issues, emphasizing the social and personal impact of disability and chronic illness on relationships, identity, employment, health, body image, sexuality, reproduction, motherhood, and aging. Through real stories of women's lives which reached the media in the last decade and before, students will move toward a dynamic understanding of the impact of a range of",0
UGIS 120,Introduction to Applied Language Studies,3 Units,,"Terms offered: Fall 2017, Spring 2017, Fall 2015<br/>
This course is an introduction to the study of language as applied to real world problems in specific situations in which people use and learn languages, e.g., language learning and teaching, language socialization, bilingualism and multilingualism, language policy and planning, computer-mediated communication, stylistics, translation, intercultural communication, language and symbolic power, political and commercial rhetoric. Fieldwork consists",0
UGIS C133,"Death, Dying, and Modern Medicine: Historical and Contemporary Perspectives",4 Units,,"Terms offered: Spring 2017, Spring 2016, Spring 2015, Fall 2013, Fall 2005, Fall 2002<br/>
This course will study the end of life--dying and death--from the perspective of medicine and history. It seeks to confront the humanist with the quotidian dilemmas of modern clinical practice and medicine's deep engagement with death more generally. It invites pre-med, pre-law, and public policy students to understand these matters in light of the historical and, more broadly, literary and artistic perspectives",0
UGIS 140,The Hand-Printed Book in Its Historical Context,2 Units,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The ""Hand-Printed Book"" is a studio course taught in the Bancroft press room. Using antique presses and 19th century type, each class produces by hand a rare first edition of a work from the Bancroft collections that has never been published before. As students learn how hand-produced books have been made in the west for the last 500 years, they are also taught about the history of the book, using examples from Bancroft's rare books",0
UGIS C155,Jewish Civilization: Modern Period,4 Units,,"Terms offered: Fall 2016, Spring 2015, Fall 2013, Fall 2012, Fall 2011<br/>
This is the fourth course in a four-course sequence in the history of Jewish culture and civilization. It explores the major themes in Jewish history from 1750 to the present, with special attention paid to the transformation of Jewish communal and individual identity in the modern world. Topics to be treated include the breakdown of traditional society, enlightenment and emancipation, assimilation, Hasidism, racial anti-Semitism",0
UGIS 156,Human Rights Interdisciplinary Minor Capstone Workshop,3 Units, History C187 or Letters and Science C140V,"Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
The HRI Capstone Workshop structures the process of turning research projects into conference papers in preparation for the HRI conference. The course allows students to tackle common research and writing problems together in a series of group advising sessions.",0
UGIS W157,"Experiential Learning: Context, Self-Reflection and Professional Development",3 Units,,"Terms offered: Summer 2018 10 Week Session, Summer 2017 10 Week Session, Summer 2016 10 Week Session<br/>
This course facilitates your learning and self-reflection about various types of organizational contexts, structures, and cultures and about the development of practical strategies to promote successful internship experiences. A series of audio-visual lectures, practical exercises, writing assignments, projects, and online group discussions will guide you through all stages of your internship",0
UGIS W158,Global Citizenship,3 Units,,"Terms offered: Summer 2018 10 Week Session, Summer 2017 10 Week Session, Summer 2016 10 Week Session<br/>
With this course, you will be able to add a new dimension to your internship experience: a reflection on global citizenship. You will be challenged to use your internship experience as an opportunity to critically explore cultural differences, modes of conduct and values. A series of audio-visual lectures, practical exercises, writing assignments, projects, and online group discussions will",0
UGIS 160A,Art,4 Units,,"Terms offered: Fall 2017, Fall 2013, Fall 2012<br/>
This course delves into various facets of the Arts in Washington, D.C., whether involving public arts through museums such as the Smithsonian, or performance venues such as theatres; art history and public issues involving arts sponsorship and presentation.",0
UGIS 162I,"Political Science: Lobbying, Money, and Influence in Washington",4 Units,,"Terms offered: Fall 2017, Spring 2017, Fall 2013<br/>
This course will be an intense examination of lobbying in Washington with particular attention given to the role of money and campaign finance in the operation of what has become a highly sophisticated and poorly understood network of advocacy and influence. The approach of the instructor is to provide a basic understanding of three different but interrelated knowledge sets: the Congress, political money, and lobbying by interest groups.",0
UGIS 162M,U.S. Foreign Policy in the Middle East,4 Units,,"Terms offered: Fall 2017, Spring 2016, Spring 2013<br/>
What are the United States' interests in the Middle East? Who and what determine those interests? And how are those interests pursued? This course addresses these questions in two parts. Students should leave this class with a strong understanding of the challenges that the U.S. faces in the Middle East, as well as an informed viewpoint regarding how well America is meeting those challenges.",0
UGIS 162N,American Political Journalism,4 Units,,"Terms offered: Fall 2017, Spring 2017, Fall 2013<br/>
This class will explore the relationships among politics, news media, and government. It will do so by focusing on particular news events in which the role of the media becomes an integral part of the story.",0
UGIS 162O,The Science of Politics: Campaigns and Elections,4 Units,,"Terms offered: Fall 2017, Spring 2017, Spring 2016<br/>
This class will teach you how to better understand the fundamental factors that drive elections in America and to learn some of the skills employed by political professionals. Many of your assignments will require you to apply the lessons of this class to real time events. Our goal in this class is to go beyond the spin and hyperbole of many election commentators and understand how voters decide and how strategists persuade.",0
UGIS 162V,Economics of Public Policy,4 Units,,"Terms offered: Fall 2017, Fall 2016<br/>
The purpose of this course is to give students a comprehensive overview of the major issues facing U.S. fiscal policy, with special emphasis on structural issues, such as the problems facing the major entitlement programs: social security, and Medicare/Medicaid. The course will emphasize the economic aspects of fiscal issues, but will also address their historical roots and political aspects.",0
UGIS 172A,The Communicator's Dilemma,4 Units,,"Terms offered: Prior to 2007<br/>
The course examines trends in a media landscape transformed by technology over the last three decades, from the post-Watergate era to the early soundings of the 2016 presidential campaign. The course will lean hard on guest speakers to give it topicality, urgency, and a sense of personal connection. We will also dissect media in its many forms to see if the old standards of objectivity have given way to a new model that verges on advocacy.",0
