code,title,units,prereqs,offered,corrupt
VIS SCI 24,Freshman Seminars,1 Unit,,"Offered through: Optometry<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen.",0
VIS SCI 39,Freshman and Sophomore Seminar,1.5 - 3 Units,,"Offered through: Optometry<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester. Enrollment limits are set by the faculty but the suggested limit is 25.",0
VIS SCI 84,Sophomore Seminar,1 or 2 Units, At discretion of instructor,"Offered through: Optometry<br/>
Terms offered: Spring 2018, Fall 2017, Fall 2016<br/>
Sophomore seminars are small interactive courses offered by faculty members in departments all across the campus. Sophomore seminars offer opportunity for close, regular intellectual contact between faculty members and students in the crucial second year. The topics vary from department to department and semester to semester. Enrollment limited to 15 sophomores.",0
VIS SCI 199,Supervised Independent Study and Research,1 - 4 Units," Upper division status and consent of instructor, the student's major adviser and the departmental chair","Offered through: Optometry<br/>
Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Supervised independent study and research. Enrollment restrictions apply; see the Introduction to Courses and Curricula section of this catalog.",0
VIS SCI 201B,Seminar in Vision Science,2 Units, Consent of instructor,"Offered through: Optometry<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Graduate seminar in vision science.",0
VIS SCI 203A,Geometric Optics,4 Units,,"Offered through: Optometry<br/>
Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Geometrical methods applied to the optics of lenses, mirrors, and prisms. Thin lens eye models, magnification, astigmatism, prism properties of lenses, thick lenses.",0
VIS SCI 203B,Optical System and Physical Optics,4 Units, 203A,"Offered through: Optometry<br/>
Terms offered: Spring 2016, Spring 2015, Spring 2014<br/>
Principles of optical systems, principles and clinical applications of aperatures and stops, aberrations and optical instruments. Optics of the eye. Selected topics in physical optics, diffraction, interference, polarization.",0
VIS SCI 205,Visual Perception Sensitivity,4.5 Units,,"Offered through: Optometry<br/>
Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Psychophysical basis for clinical tests in acuity, perimetry, and color vision. The visual stimulus and photometry. Visual receptors. Psychophysical method and visual threshold. Light sensitivity. Contrast sensitivity. Light and dark adaptation. Temporal and spatial properties of visual function. Color vision and abnormalities. Changes with age and disease. Visual illusion. Basis for advanced diagnostic procedur",0
VIS SCI 206B,Anatomy and Physiology of the Eye and Visual System,3 Units, ViS Sci 206A,"Offered through: Optometry<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Structure and function of the tissues of the eye, ocular appendages, and the central visual pathways. Basic concepts of physiological, neurological, embryological, and immunological processes as they relate to the eye and vision. Foster an appreciation of the pathophysiology of various disease processes. Convey the importance of anatomy and physiology in the medical approach to ocular disease processes.",0
VIS SCI 206C,Anatomy and Physiology of the Eye and Visual System,2 Units, 206A-206B,"Offered through: Optometry<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Problem-based learning approach using clinical case examples. Continuation of 206A-206B.",0
VIS SCI 212B,Visual Neurophysiology and Development,2 Units, Consent of instructor,"Offered through: Optometry<br/>
Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
Introduction for graduate students. Visual pathways will be considered from retina to lateral geniculate to visual cortex. Basic organization at each stage will be covered. Primary focus will be studies of receptive field characteristics and associated visual function. Development and plasticity of the same visual pathways will also be covered. Evidence and implications will be explored from controlled rearing procedures",0
VIS SCI 212E,Color Vision and Visual Sensitivity,2 Units, Consent of instructor,"Offered through: Optometry<br/>
Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Introduction for graduate students to sensory aspects of light and color vision including: psychophysical methods, spectral response of the eye, mechanisms of sensitivity control, dark adaptation, color discrimination, mechanisms of normal and defective color vision.",0
VIS SCI 212F,"Spatial and Binocular Vision, Eye Movements, and Motion Perception",2 Units, Consent of instructor,"Offered through: Optometry<br/>
Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
Introduction for graduate students to human spatial vision including contrast sensitivity, visual acuity, and spatial localization. Introduction to eye movements, motion perception, and motor and sensory aspects of binocular vision including pursuit, vergence, and saccadic eye movements, accommodation, stereopsis, and binocular space perception. Perception of real and apparent motion.",0
VIS SCI 212G,Molecular Genetics of Vertebrate Eye Development and Diseases,2 Units, Graduate student in vision science or consent of instructor in charge,"Offered through: Optometry<br/>
Terms offered: Spring 2017, Spring 2016, Spring 2015<br/>
The primary focus of this course is to teach the molecular basis of vertebrate eye development and related disease. This course will cover some of the basic principles of molecular and cell biology, commonly used techniques and experimental approaches, as well as the biological mechanisms for vertebrate eye development and related eye diseases. Recent progress in identifying important ocular genes and the approaches",0
