code,title,units,prereqs,offered,corrupt,prereqs_parsed
ARABIC 1A,Elementary Arabic,5 Units, 1A is a prerequisite to 1B,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course emphasizes the functional usage of Arabic in the four language skills: listening, speaking, reading, and writing. Authentic audio, video, and reading materials are presented from the beginning, and students are encouraged to be creative with the language in and out of class.",0,
ARABIC 1B,Elementary Arabic,5 Units, 1A is a prerequisite to 1B,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course emphasizes the functional usage of Arabic in the four language skills: listening, speaking, reading, and writing. Authentic audio, video, and reading materials are presented from the beginning, and students are encouraged to be creative with the language in and out of class.",0,ARABIC1A
ARABIC 20A,Intermediate Arabic,5 Units, 1B or equivalent; 20A is a prerequisite to 20B,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course is proficiency oriented. Authentic reading in modern standard and classical Arabic and the understanding and application of grammatical and stylistic rules are emphasized. Students deliver oral presentations and write academic papers in Arabic.",0,ARABIC1B
ARABIC 20B,Intermediate Arabic,5 Units, 20A,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course is proficiency oriented. Authentic reading in modern standard and classical Arabic and the understanding and application of grammatical and stylistic rules are emphasized. Students deliver oral presentations and write academic papers in Arabic.",0,ARABIC20A
ARABIC 30,Intermediate Arabic,10 Units, One year of college level Arabic,"Offered through: Near Eastern Studies<br/>
Terms offered: Summer 2018 8 Week Session, Summer 2017 8 Week Session, Summer 2016 8 Week Session<br/>
This course is equivalent to a full year of intermediate level Arabic. It will deepen skills in speaking, comprehending, reading, and writing Modern Standard Arabic.",0,ARABIC1A|ARABIC1B
ARABIC 100A,Advanced Arabic,3 Units, 100A is prerequisite for 100B. 20B,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Intensive reading and analysis of texts of different genres. Guest lectures, films, documentaries, oral presentations, research papers. Formal and informal styles of writing and correspondence. Extensive vocabulary building.",0,ARABIC20B
ARABIC 100B,Advanced Arabic,3 Units, 100A,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Intensive reading and analysis of texts of different genres. Guest lectures, films, documentaries, oral presentations, research papers. Formal and informal styles of writing and correspondence. Extensive vocabulary building.",0,ARABIC100A
ARABIC 104B,Classical Arabic Prose,3 Units, 20B or equivalent,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Fall 2015, Fall 2009<br/>
This course is designed for students who wish to concentrate on Arabic of the classical periods of Arab and Islamic civilization. Reading and analysis of literary texts of various genres, including essays, biography, and travel literature.",0,ARABIC20B
ARABIC 105B,Classical Arabic Poetry,3 Units, Arabic 20B or equivalent,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2008, Fall 2006<br/>
Readings and analysis of poetry from the pre-Islamic through the classical periods.",0,ARABIC20B
ARABIC 107,Arabic Historical and Geographical Texts,3 Units, 20B or equivalent,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Readings from the classical historians and geographers and from contemporary scholarship. Development of historiography.",0,ARABIC20B
ARABIC 108,Islamic Religious and Philosophical Texts in Arabic,3 Units, 20B or equivalent,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Readings in the basic texts of Islam (Qur'an, Huran, Hadith, Sira, commentary) and in theological, mystical, and philosophical texts.",0,ARABIC20B
ARABIC 111B,Survey of Arabic Literature (in Arabic),3 Units, 100A,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Spring 2016<br/>
This course is designed primarily for majors and prospective majors in Arabic studies. The Post-Abbasid and Modern Periods: A literary-historical survey of Arabic literature from the middle of the thirteenth century to the present.",0,ARABIC100A
ARABIC 115A,Colloquial Arabic,4 Units, Arabic 1B,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017<br/>
This course introduces students to a standard colloquial Arabic and the cultures of the region in which it spoken. The colloquial will change based on availability. The focus of the course is on speaking and listening, but also includes readings from printed materials. The course draws on various media including advertisements, theater, and film composed in colloquial style. This course will also expose students to literature",0,ARABIC1B
ARABIC 115B,Colloquial Arabic,4 Units, Arabic 115A,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2018<br/>
This course introduces students to Egyptian Colloquial Arabic and the cultures of the region in which it is spoken. The focus of the course is on speaking and listening, but also includes readings from printed materials. The course draws on various media including advertisements, theater, and film composed in colloquial style. This course will also expose students to literature composed in colloquial. Moreover, students will",0,ARABIC115A
ARABIC 202,History of Arabic,3 Units, 20B or its equivalent with consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2017, Spring 2015, Spring 2013<br/>
The history of Arabic from its Semitic antecedents through the formation of the modern dialects.",0,
ARABIC 220,Seminar in Classical Arabic Literature,3 Units, 20B or its equivalent and consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
A close reading and careful literary analysis of significant authors and specific topics in Classical Arabic prose or poetry or both.",0,
ARABIC 298,Seminar,1 - 4 Units, Consent of instructor,"Offered through: Near Eastern Studies<br/>
Terms offered: Spring 2017, Fall 2016, Spring 2016<br/>
Special topics in Arabic. Topics vary and are announced at the beginning of each semester.",0,
