code,title,units,prereqs,offered,corrupt,prereqs_parsed
ARCH 11A,Introduction to Visual Representation and Drawing,4 Units, Env Des 1 with C- or better,"Terms offered: Summer 2018 8 Week Session, Fall 2017, Summer 2017 8 Week Session<br/>
Introductory studio course: theories of representation and the use of several visual means, including freehand drawing and digital media, to analyze and convey ideas regarding the environment. Topics include contour, scale, perspective, color, tone, texture, and design.",0,ENVDES1
ARCH 11B,Introduction to Design,5 Units, 11A with C- or better,"Terms offered: Summer 2018 8 Week Session, Spring 2018, Summer 2017 8 Week Session<br/>
Introduction to design concepts and conventions of graphic representation and model building as related to the study of architecture, landscape architecture, urban design, and city planning. Students draw in plan, section, elevation, axonometric, and perspective and are introduced to digital media. Design projects address concepts of order, site analysis, scale, structure, rhythm, detail, culture, and landsc",0,ARCH11A
ARCH 24,Freshman Seminars,1 Unit,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",0,
ARCH 98,Special Group Study,1 - 4 Units,,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
This is a special topics course intended to fulfill the individual interests of students, and provide a vehicle for professors to instruct students based on new and innovative developments in the field of architecture.",0,
ARCH 98BC,Berkeley Connect,1 Unit,,"Terms offered: Spring 2018, Fall 2017, Spring 2017<br/>
Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department",0,
ARCH 100A,Fundamentals of Architectural Design,6 Units, Arch 11A & 11B With a C- or better. Must be taken in sequence,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
Introductory courses in the design of buildings. Problems emphasize conceptual strategies of form and space, site relationships and social, technological and environmental determinants. 100A focuses on the conceptual design process.",0,ARCH11A|ARCH11B
ARCH 100B,Fundamentals of Architectural Design,6 Units, Arch 100A with a C- or better. Must be taken in sequence,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Introductory courses in the design of buildings. Problems emphasize conceptual strategies of form and space, site relationships and social, technological and environmental determinants. 100B stresses tectonics, materials, and energy considerations. Studio work is supplemented by lectures, discussions, readings and field trips.",0,ARCH100A
ARCH 100C,Architectural Design III,5 Units, Arch 100B with a C- or better,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This is a studio course in architectural design. Students work on individual and group design projects that build on topics from Architecture 100B with additional integration of conditions pertinent to architectural production that may include architectural precedents, context, landscape and urban issues, envelope, performance, structure, and tectonics in the design of buildings.",0,ARCH100B
ARCH 100D,Architectural Design IV,5 Units, Arch 100B with a C- or better,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
Students work on individual and/or group design projects that build on topics from previous studios with additional integration of conditions pertinent to architectural production that may include architectural precedents, context, landscape and urban issues, envelope, structure, and tectonics in the design of buildings. It may also include relevent and pertinent social, cultural, and technological issues facing architecture and design.",0,ARCH100B
ARCH 102A,Capstone Project Preparation Seminar,3 Units," Architecture 100A, Architecture 100B","Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
This course is a course in architectural research methods with an emphasis on collaborative work. Students will work on individual facets of a collective topic of critical importance to the contemporary discipline of architecture within areas of faculty expertise. These include: architectural history and theory, structures, materials and methods of construction, building performance, energy and environment, and social factors and human behavior",0,ARCH100A|ARCH100B
