code,title,units,prereqs,offered,corrupt,prereqs_parsed
ART 8,Introduction to Visual Thinking,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
A first course in the language, processes, and media of visual art. Course work will be organized around weekly lectures and studio problems that will introduce students to the nature of art making and visual thinking.",0,
ART 8A,Introduction to Visual Thinking,4 Units,,"Terms offered: Spring 2018<br/>
The ‘designed world’ is implicated in everyday experience. In an increasingly technological and communications based culture-from print to the Web, advertisements to movies, the built environment to modes of pedagogy-we encounter the visual/sensory as a ‘designed world’ in every area of our lives. Art 8 A: Intro to Visual Thinking asks students to rigorously and critically interrogate the ‘designed world.’ To do this students will look at a range of art, media, and",0,
ART 12,The Language of Drawing,4 Units,8,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Spring 2018<br/>
A study of drawing as a tool for articulating what the eyes, hand, and mind discover and investigate when coordinated. Some sessions will be devoted to drawing the human figure. Lectures and demonstrations introduce students to techniques and varied applications.",0,ART8
ART 13,Language of Painting,4 Units,8,"Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Spring 2017<br/>
A concentrated investigation of what painting on a two-dimensional surface can elicit from what is both observed and felt. Illustrated talks will help familiarize you with issues that have concerned painters in the 20th century. Lectures and demonstrations introduce students to techniques and varied applications.",0,ART8
ART 14,The Language of Sculpture,4 Units,8,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
This course is the study of the interaction between physical form and space. We will focus on building a strong conceptual foundation while developing the practical studio skills needed to translate your ideas into three dimensions. Shop practices will include hand, machine, and computer-aided fabrications. Field trips and illustrated talks will help acquaint students with the ideas sculptors have explored through history and in contemporary",0,ART8
ART 15,The Language of Sculpture: Ceramics,4 Units, Practice of Art 8,"Terms offered: Spring 2018, Spring 2017, Fall 2016<br/>
This course will challenge students to use ceramics as a way to explore and understand three-dimensional space, and use a contemporary art framework for critiquing and discussing the work produced. We will develop a practical understanding of how clay and glaze behave, while building a conceptual framework through which to apply this knowledge. Studio practice includes hand building, modeling, carving, and glazing as possibilities for turning",0,ART8
ART 16,Introduction to Printmaking,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2014<br/>
This course examines and explores various print disciplines. Students study and create traditional forms of fine art printmaking including woodcut, lithography, intaglio, and screenprinting as well as newer approaches which include transfer and digital printmaking. This course is a prerequisite for upper division print courses. Lectures and demonstrations introduce students to techniques and varied applications.",0,
ART 21,Beginning Digital Photography,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2018 Second 6 Week Session, Summer 2017 Second 6 Week Session<br/>
This is a basic foundation class for digital photography with hands-on instruction in the use of digital cameras and online image dissemination. Topics include image capture, composition, image syntax, image analysis, image manipulation, meta-text production, and image sequencing for visual narratives. We also study image dissemination through online networks-social networks",0,
ART W23AC,Data Arts,4 Units,,"Terms offered: Fall 2017, Spring 2016, Spring 2015<br/>
Can we measure everything? What is the role of privacy? Can we count beauty? Is data always fair? This course explores participation as the foundation of online citizenship. Participation is based on data literacy and community awareness. Through online assignments, peer reviews and video chats, students form communities of explorers and innovators who challenge data culture through creative interventions including surveys, visualization, animation",0,
ART 26,Moving Image Media Production,4 Units,,"Terms offered: Summer 2018 First 6 Week Session, Summer 2017 First 6 Week Session, Summer 2016 First 6 Week Session<br/>
This course provides students with the technological and conceptual groundwork for advanced courses in video art and filmmaking including the use of digital cameras, sound recording, basic lighting techniques, digital editing, compression, and online dissemination. We will focus on what makes compelling moving images that elicit powerful intellectual and emotional responses. The",0,
