code,title,units,prereqs,offered,corrupt,prereqs_parsed
CELTIC R1B,Voices of the Celtic World,4 Units," Previously passed an R_A course with a letter grade of C- or better.<BR/>Previously passed an articulated R_A course with a letter grade of C- or better.<BR/>Score a 4 on the Advanced Placement Exam in English Literature.<BR/>Score a 4 or 5 on the Advanced Placement Exam in English Language and Composition.<BR/>Score of 5, 6, or 7 on the International Baccalaureate Higher Level Examination in English","Terms offered: Summer 2018 First 6 Week Session, Spring 2018, Fall 2017<br/>
Reading and composition course based on works of Celtic writers both in English and in translations from Celtic languages. In addition to training in textual analysis and descriptive and argumentative writing, the courses will discuss the notion of Celtic ""voices"": distinctive modes of cultural expression chosen by important authors from a Celtic milieu. Readings will be chosen from a variety of modern Irish,",0,
CELTIC 15,Elementary Modern Irish,4 Units,,"Terms offered: Fall 2017, Fall 2015, Fall 2013<br/>
A beginning course in Modern Irish. Students will be learning the basics of Irish grammar, and developing ability to understand, speak, read and write the language.",0,
CELTIC 16,Introduction to Modern Welsh,4 Units,,"Terms offered: Fall 2016, Fall 2014, Fall 2012<br/>
Introduction to modern Welsh conversation and grammar. Emphasis in the first-semester class is on pronunciation, mastering consonant mutations, using several tenses (present, perfect, imperfect, past), and the acquisition of basic vocabulary and idiom. Simple written materials based on traditional Welsh stories will supplement classroom oral-aural work.",0,
CELTIC 70,The World of the Celts,4 Units,,"Terms offered: Fall 2017, Fall 2016, Fall 2015<br/>
An overview of the history of Celtic-speaking peoples from Indo-European times, including linguistic/archaeological evidence for the emergence of the Celtic language group in 1st millenium B.C. Europe. Celtic religion and comparative Indo-European mythology. Discussion of the validity of classical reports of the Celtic culture. Celtic tribal migrations in the historical period; the foundation of Brittany. The decline and suppression of modern Celtic",0,
CELTIC 85,Intermediate Modern Irish,4 Units, Celtic Studies 15; or 5 and 75,"Terms offered: Spring 2018, Spring 2016, Spring 2014<br/>
The second semester of Modern Irish. Continuing instruction in speaking, comprehension, reading and writing skills. By the end of this semester, students will have become acquainted with all of the central grammatical constructions of Irish, and will be ready to begin reading accessible Irish prose.",0,CELTIC15|(CELTIC5&CELTIC75)
CELTIC 86,Intermediate Modern Welsh,4 Units, Celtic 16; or 6 and 76 or consent of instructor,"Terms offered: Spring 2017, Spring 2015, Spring 2013<br/>
Continuation of Celtic Studies 16, emphasizing progress in conversation, grammar, and idiom. Using tenses previously learned, students will learn how to ask and answer many types of questions and will learn conjugated prepositions and idiomatic uses of prepositions. Future and conditional tenses and simple relative clauses will be introduced. Level-appropriate written materials will supplement class work, and students will begin learning",0,CELTIC16|(CELTIC6&CELTIC76)
CELTIC 98,Directed Group Study,1 - 4 Units, Freshman or sophomore standing,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Group study of selected topics not covered by regularly scheduled courses.",0,
CELTIC 99,Supervised Independent Study and Research,1 - 4 Units, Freshman and Sophomore standing and consent of instructor,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Directed individual study on special topics approved by Celtic Studies.",0,
CELTIC 105A,Old and Middle Irish,4 Units, Celtic 15 and 85 or consent of instructor,"Terms offered: Spring 2017, Spring 2015, Fall 2013<br/>
A detailed introduction to the orthography, phonology and grammar of Old Irish designed to provide the student with the subsequent capacity to read with comprehension and to translate (with the aid of dictionary or glossary) any edited text in Old Irish or Middle Irish.",0,CELTIC15&CELTIC85
CELTIC 119A,Welsh and Arthurian Literature of the Middle Ages,4 Units,,"Terms offered: Spring 2016, Fall 2014, Spring 2013<br/>
A selective study of major surviving works of Welsh prose and poetry of the Middle Ages, with special attention to the development of the legendary history of King Arthur in Europe. All work will be read in English, but course will be coordinated with 106A-106B for those who wish to do some of the readings in Welsh.",0,
CELTIC 125,Irish Literature in Translation,4 Units,,"Terms offered: Spring 2017, Fall 2014, Fall 2012<br/>
A selective study of key themes in modern Irish literature. Texts will include novels, short stories, and poetry and will concentrate on translations of works originally written in Irish. All work will be read in English, but the course will be coordinated with 75 or 115A-115B for those who wish to do some of the reading in Irish.",0,
CELTIC 128,Medieval Celtic Culture,4 Units,,"Terms offered: Fall 2017, Spring 2015, Spring 2014<br/>
A study of medieval Celtic culture, its society, laws, religion, history, and the daily life of the Celtic peoples, as they are reflected in a selection of texts ranging from medieval literary works to legal texts and historical chronicles. All works will be read in English translation.",0,
CELTIC 129,Aspects of Modern Celtic Cultures and Folklore,4 Units,,"Terms offered: Spring 2018, Spring 2015, Spring 2013<br/>
A comparative introduction to modern Celtic cultures: principally Irish, Welsh, Scottish Gaelic and Breton. The development of the distinctive cultures of the Celtic ""nations without states"" from 1500 to the present; an examination of the role of minority cultures and minority languages in larger political cultural entities. Theme topics will vary, but will include folklore, nationalism and linguistic history from time to time.",0,
CELTIC 138,Irish Literature,4 Units,,"Terms offered: Fall 2016, Fall 2015, Fall 2013<br/>
Gaelic literature 700-1800 (in translation). Study of the prose saga-cycles, satire, classical lyric poetry, and bardic poetry, developing the mythological and traditional background of modern Irish literature.",0,
CELTIC 139,Irish Literature,4 Units,,"Terms offered: Spring 2016, Spring 2014, Spring 2012<br/>
Irish literature 1800 to the present.",0,
CELTIC 144A,Modern Welsh Level 3,4 Units, Celtic 16 and 86 or consent of instructor,"Terms offered: Fall 2017, Fall 2015, Fall 2013<br/>
This course continues the Celtic Studies 16-86 sequence. Advanced grammatical concepts are introduced and vocabulary building (especially idioms) is emphasized. Students read materials such as magazines, newspapers, catalogues, and popular novels. Regular language laboratory attendance is required.",0,CELTIC16&CELTIC86
CELTIC 144B,Modern Welsh Level 4,4 Units, Celtic 144A or consent of instructor,"Terms offered: Spring 2016, Spring 2014, Spring 2010<br/>
This course continues the Celtic Studies 16-86-144A sequence. Emphasis is on mastering the fine details of Welsh grammat (including prepositional idioms), accent reduction, and acquiring conversational ease. Dialect information is introduced. Supplementary reading will introduce students to the standard literary languages; brief compositional exercises will be based on this material.",0,CELTIC144A
CELTIC 145A,Intermediate Irish Language,4 Units, Celtic Studies 15 and 85 or consent of instructor,"Terms offered: Fall 2016, Fall 2014, Fall 2012<br/>
The third level course in modern spoken Irish designed for students who have completed two semesters of formal instruction. Continued stress on vocabulary building and reading of texts with intensive conversation drills to activate the learned vocabulary. Idiomatic usage will be reinforced in both oral and written exercises. Class activities will include conversation and discussion of assigned texts in Irish.",0,CELTIC15&CELTIC85
CELTIC 146B,Medieval Welsh Language and Literature,4 Units, 106A or consent of instructor,"Terms offered: Spring 2016, Spring 2014, Fall 2012<br/>
A selection of medieval Welsh prose and poetry is read in Middle Welsh in conjunction with lectures on key themes in medieval Welsh literature and tradition.",0,CELTIC106A
CELTIC 168,Celtic Mythology and Oral Tradition,4 Units,,"Terms offered: Fall 2017, Fall 2016, Spring 1996<br/>
The course will introduce students to the pre-Christian beliefs of the Celtic and Indo-European worlds, to the historical narratives in which such beliefs are embedded, and to the methodology of investigating ancient and medieval belief systems.",0,
CELTIC 173,Celtic Christianity,4 Units,,"Terms offered: Spring 2018, Spring 2017, Spring 2016<br/>
This course considers the evidence for the presence of early Christian believers in the so-called ""Celtic"" areas of western Europe. Students will examine how the Celtic peoples received Christianity in the context of native (pagan) religion; they will look specifically at how the Roman Church doctrine influenced the doctrinal stands of the early Celtic church(es), and vice versa, with particular attention to the Pelagian controversy",0,
CELTIC H195A,Honors Course,3 Units, Open only to honors seniors in the group major in Celtic Studies,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Course may take one or two semesters at the option of the instructor and student with credit to be earned upon completion of a successful thesis. Successful completion of the course will normally, but not necessarily, mean the awarding of honors.",0,
CELTIC H195B,Honors Course,3 Units, Open only to honors seniors in the group major in Celtic Studies,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Course may take one or two semesters at the option of the instructor and student with credit to be earned upon completion of a successful thesis. Successful completion of the course will normally, but not necessarily, mean the awarding of honors.",0,
CELTIC 198,Directed Group Study,1 - 4 Units, 60 units and in good academic standing,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Directed group study on special topics approved by Celtic Studies.",0,
CELTIC 199,Supervised Independent Study and Research,1 - 4 Units, 60 units and in good academic standing,"Terms offered: Fall 2017, Spring 2017, Fall 2016<br/>
Directed individual study on special topics approved by Celtic Studies.",0,
